T_i T_f Uncer
0.8 0.40912 0.000324428
0.9 0.461585 0.000354865
1 0.513713 0.000455657
1.1 0.566487 0.000458419
1.2 0.618816 0.000563458
1.3 0.672108 0.000599712
1.4 0.725279 0.000531752
1.5 0.777449 0.000592554
1.6 0.831019 0.000759358
1.51 0.783219 0.000832509
1.52 0.788805 0.000831782
1.53 0.793609 0.000674805
1.54 0.799478 0.000711661
