T U Err_U M Err_M Cv Err_Cv X Err_X
1.09 -36.2362 0.0143358 0.050542 0.113288 19.8874 0.0493145 285.588 1.47985 
1.1 -36.0389 0.0139066 0.061142 0.110173 19.7889 0.0453577 278.631 1.40963 
1.11 -35.8479 0.0127883 0.050472 0.106333 19.6593 0.0458426 272.515 1.39847 
1.12 -35.6473 0.0114724 0.087732 0.103907 19.5141 0.0438621 264.83 1.37648 
1.13 -35.4504 0.0105931 0.086228 0.0934332 19.3945 0.0476034 257.916 1.38704 
1.14 -35.2562 0.0115095 0.082148 0.0768311 19.2731 0.0532638 251.606 1.32326 
1.15 -35.0627 0.0106626 0.065564 0.0784084 19.1562 0.0519049 245.463 1.23375 
1.16 -34.8694 0.00926549 0.057516 0.0811203 19.0199 0.0460044 240.091 1.1179 
1.17 -34.6831 0.0104783 0.081856 0.0815719 18.8929 0.0423425 234.893 1.19889 
1.18 -34.4927 0.0108286 0.066292 0.0904148 18.7617 0.0394383 229.493 1.14828 
1.19 -34.3062 0.0105444 0.073468 0.0893999 18.6601 0.0383435 224.875 1.1588 
1.2 -34.1184 0.0108967 0.080884 0.0948018 18.5369 0.0325162 219.462 1.09463 
1.21 -33.9336 0.0107098 0.070518 0.0968522 18.4191 0.030746 214.536 0.94896 
1.22 -33.7527 0.0100728 0.072266 0.0916606 18.2558 0.0304234 209.849 0.946249 
1.23 -33.5744 0.0112541 0.092108 0.0865107 18.1293 0.0309375 205.591 0.908367 
1.24 -33.397 0.011256 0.108808 0.0851503 17.9891 0.0301847 201.441 0.963336 
1.25 -33.2141 0.0112203 0.113894 0.0804912 17.8634 0.0295957 197.514 0.972449 
1.26 -33.0342 0.0114716 0.09486 0.0724722 17.7282 0.0296972 193.365 0.954568 
1.27 -32.8596 0.0115353 0.07812 0.0732222 17.5812 0.0331791 189.442 0.971764 
1.28 -32.6842 0.0109429 0.082118 0.0714107 17.453 0.0341999 185.396 0.841223 
1.29 -32.5135 0.0108936 0.066458 0.0698401 17.3129 0.0314936 181.774 0.806237 
1.3 -32.3345 0.0113978 0.047014 0.0679838 17.1954 0.0317108 178.003 0.794919 
1.31 -32.1633 0.0111105 0.023242 0.069954 17.0531 0.0296437 174.689 0.812516 
1.32 -31.9898 0.0117697 0.002482 0.0651573 16.9398 0.0272164 171.12 0.812362 
1.33 -31.8218 0.0117987 -0.001006 0.0639554 16.7994 0.026376 167.977 0.802304 
1.34 -31.6577 0.0113932 0.007346 0.0679979 16.6591 0.0256234 164.924 0.89566 
1.35 -31.492 0.010928 -0.0108 0.0684493 16.5528 0.026953 162.126 0.906575 
1.36 -31.3241 0.0105948 -0.016798 0.0687792 16.4268 0.0249674 159.106 0.909061 
1.37 -31.16 0.0105581 -0.004416 0.0672421 16.3021 0.0264018 156.446 0.852627 
1.38 -30.9951 0.0114666 0.010422 0.0644743 16.1731 0.0268144 153.824 0.858913 
1.39 -30.8332 0.0112195 0.004018 0.0651887 16.0271 0.0259809 151.171 0.865787 
1.4 -30.6743 0.0111707 -0.001328 0.0641987 15.9003 0.0288955 148.679 0.802489 
1.41 -30.5134 0.0108616 -0.00403 0.0599989 15.7621 0.0288226 145.812 0.738935 
1.42 -30.3555 0.0108697 -0.008766 0.055802 15.6496 0.0297132 143.17 0.752647 
1.43 -30.1972 0.0107196 4.6e-05 0.0559297 15.5263 0.029364 140.831 0.752504 
1.44 -30.0428 0.0113069 0.014096 0.0541232 15.3961 0.0289104 138.499 0.758366 
1.45 -29.8882 0.0109766 0.00393 0.0534927 15.2681 0.0278742 136.296 0.697037 
1.46 -29.7351 0.0107836 0.003496 0.0512829 15.1422 0.0282917 134.037 0.670297 
1.47 -29.5848 0.0103184 -0.010156 0.0498874 15.0261 0.0280595 131.847 0.637182 
1.48 -29.4368 0.0111235 -0.015962 0.0469515 14.9052 0.0289369 129.669 0.622561 
1.49 -29.2898 0.0111734 -0.018606 0.0474836 14.7803 0.0277495 127.763 0.598734 
1.5 -29.1415 0.0104488 -0.012028 0.0519931 14.6637 0.0280847 125.789 0.601181 
1.51 -28.9931 0.0105048 -0.012302 0.0523171 14.5371 0.0270864 123.966 0.601086 
1.52 -28.8483 0.0105911 -0.00467 0.0533352 14.4302 0.0233292 122.019 0.582146 
1.53 -28.7039 0.0108071 0.006592 0.052605 14.3181 0.0224472 120.258 0.550399 
1.54 -28.5616 0.0106069 0.01105 0.0502744 14.2141 0.0214974 118.508 0.524208 
1.55 -28.419 0.010971 -0.000114 0.0492195 14.1054 0.0221482 116.748 0.516984 
1.56 -28.2779 0.0107002 -0.002562 0.0466046 13.9879 0.0230522 115.075 0.497806 
1.57 -28.137 0.0106111 -0.01014 0.046615 13.869 0.0240461 113.367 0.508808 
1.58 -27.9953 0.0107999 -0.010198 0.0442667 13.7546 0.0218814 111.82 0.484548 
1.59 -27.8575 0.0110017 -0.004964 0.0448085 13.6386 0.0213492 110.345 0.469774 
1.6 -27.7235 0.0108433 0.00251 0.0452268 13.524 0.0210279 108.875 0.459361 
1.61 -27.5867 0.0109661 0.011922 0.0467692 13.4174 0.0223153 107.342 0.460217 
1.62 -27.4533 0.0105689 0.017844 0.0485863 13.3136 0.0221034 105.907 0.445309 
1.63 -27.3212 0.0099315 0.01813 0.0458818 13.2029 0.0212191 104.459 0.42669 
1.64 -27.1913 0.0100352 0.015866 0.0457365 13.0856 0.0203302 103.059 0.397989 
1.65 -27.0616 0.0095612 0.018826 0.0440821 12.9789 0.0213939 101.76 0.397508 
1.66 -26.9322 0.010356 0.01729 0.0440644 12.8765 0.0195359 100.416 0.393071 
