T_i T_f Uncer
1.1 0.56057 0.00104875
1.2 0.618318 0.00110075
1.3 0.678319 0.00118238
1.4 0.73807 0.00122774
1.5 0.798163 0.00120841
1.6 0.861105 0.00133432
1.7 0.921608 0.00127871
1.8 0.986447 0.0013331
1.9 1.04777 0.00139639
2 1.11186 0.00136465
2.1 1.17444 0.00134176
2.01 1.11572 0.00150638
2.001 1.10992 0.00149018
2.002 1.10957 0.00159438
2.003 1.11268 0.0013043
2.0021 1.11331 0.00137989
