0
1
#blocks mean unc
1 -0.255075 0
2 -0.251898 0.0022459
3 -0.247736 0.00371348
4 -0.244062 0.00422896
5 -0.247637 0.00465496
6 -0.249276 0.00415787
7 -0.248575 0.00362245
8 -0.249344 0.00325007
9 -0.249669 0.00290524
10 -0.249233 0.00264725
11 -0.249847 0.00247662
12 -0.249078 0.00238662
13 -0.249492 0.00223871
14 -0.249663 0.00208535
15 -0.248255 0.00237494
16 -0.248158 0.00222846
17 -0.248384 0.00210875
18 -0.247544 0.00215242
19 -0.24796 0.00207896
20 -0.248486 0.00204041
21 -0.248884 0.00198171
22 -0.249433 0.00196637
23 -0.248883 0.0019564
24 -0.249093 0.00188613
25 -0.249235 0.00181604
26 -0.249371 0.00175123
27 -0.249423 0.00168716
28 -0.249228 0.00163812
29 -0.249398 0.00159042
30 -0.249941 0.00162723
31 -0.250061 0.00157917
32 -0.250013 0.00153054
33 -0.250253 0.00150277
34 -0.250421 0.00146793
35 -0.25023 0.00143835
36 -0.250215 0.00139847
37 -0.25041 0.00137413
38 -0.25033 0.00134029
39 -0.250573 0.00132788
40 -0.250514 0.00129602
41 -0.25047 0.00126515
42 -0.250545 0.00123724
43 -0.250502 0.0012092
44 -0.250469 0.00118216
45 -0.250244 0.00117714
46 -0.250159 0.00115462
47 -0.250161 0.00113006
48 -0.250176 0.00110661
49 -0.250203 0.00108435
50 -0.250331 0.00107028
51 -0.250321 0.00104935
52 -0.250542 0.00105237
53 -0.250486 0.00103402
54 -0.250517 0.00101534
55 -0.250409 0.00100262
56 -0.250451 0.000985586
57 -0.250449 0.000968296
58 -0.250376 0.000954361
59 -0.25055 0.000953936
60 -0.250541 0.000938081
61 -0.25049 0.000924069
62 -0.250495 0.000909178
63 -0.25072 0.000922011
64 -0.250804 0.000911467
65 -0.250682 0.000905598
66 -0.250479 0.000914379
67 -0.250641 0.000915036
68 -0.250356 0.000944873
69 -0.250347 0.000931227
70 -0.250308 0.000918717
71 -0.250035 0.000945597
72 -0.250005 0.00093292
73 -0.249918 0.00092422
74 -0.250045 0.000920352
75 -0.250127 0.000911754
76 -0.250111 0.000899893
77 -0.250239 0.000897177
78 -0.250249 0.000885736
79 -0.250069 0.000892532
80 -0.250082 0.000881463
81 -0.250061 0.00087084
82 -0.25018 0.000868346
83 -0.250148 0.000858457
84 -0.250172 0.000848559
85 -0.250175 0.000838581
86 -0.250224 0.000830265
87 -0.250163 0.000822929
88 -0.250124 0.000814513
89 -0.250202 0.000809055
90 -0.250182 0.000800294
91 -0.250213 0.000792096
92 -0.250222 0.00078354
93 -0.250194 0.000775649
94 -0.250192 0.0007674
95 -0.250191 0.000759323
96 -0.250135 0.000753413
97 -0.250066 0.00074887
98 -0.25012 0.000743177
99 -0.250312 0.000760126
100 -0.250185 0.000763124
