0
0.5
#blocks mean unc
1 0.735957 0
2 0.738037 0.00147089
3 0.730146 0.00651704
4 0.72934 0.00493739
5 0.730007 0.00399474
6 0.72871 0.00353319
7 0.726381 0.00371789
8 0.724186 0.00384663
9 0.726498 0.00405482
10 0.724943 0.00393628
11 0.726409 0.00384182
12 0.727052 0.00357508
13 0.726938 0.00330189
14 0.727081 0.00306913
15 0.727494 0.0028921
16 0.728642 0.00293045
17 0.728577 0.0027588
18 0.728697 0.00260816
19 0.729259 0.00253066
20 0.729932 0.00249198
21 0.729734 0.00238114
22 0.729659 0.00227409
23 0.729961 0.00219519
24 0.730408 0.0021488
25 0.730597 0.00207116
26 0.730607 0.00199152
27 0.730569 0.00191813
28 0.730702 0.00185427
29 0.73083 0.00179475
30 0.730948 0.0017388
31 0.731441 0.00175114
32 0.731151 0.00172031
33 0.731286 0.00167353
34 0.73133 0.00162488
35 0.730693 0.00169878
36 0.731077 0.00169427
37 0.731069 0.0016485
38 0.731361 0.0016309
39 0.731344 0.00158918
40 0.731543 0.00156181
41 0.731625 0.00152592
42 0.731532 0.00149246
43 0.731724 0.00147007
44 0.731728 0.00143667
45 0.731653 0.00140671
46 0.731682 0.00137642
47 0.731948 0.00137257
48 0.731888 0.00134529
49 0.7323 0.00137954
50 0.732387 0.0013547
51 0.732762 0.00137899
52 0.732682 0.00135476
53 0.732468 0.00134602
54 0.73231 0.0013304
55 0.732397 0.00130908
56 0.732543 0.00129374
57 0.732634 0.00127431
58 0.732562 0.00125439
59 0.732481 0.00123574
60 0.732885 0.0012794
61 0.733117 0.00127933
62 0.733079 0.00125926
63 0.733187 0.00124386
64 0.733347 0.00123471
65 0.733482 0.001223
66 0.73372 0.00122748
67 0.733741 0.00120934
68 0.733973 0.00121373
69 0.733593 0.00125436
70 0.733704 0.00124132
71 0.733775 0.00122588
72 0.733812 0.00120943
73 0.733884 0.00119501
74 0.73368 0.0011963
75 0.733763 0.00118329
76 0.733615 0.00117699
77 0.733634 0.00116186
78 0.733669 0.00114747
79 0.733551 0.00113891
80 0.733372 0.00113864
81 0.733309 0.00112634
82 0.733529 0.00113385
83 0.733609 0.00112299
84 0.73375 0.00111847
85 0.733831 0.00110824
86 0.733875 0.00109621
87 0.733951 0.00108624
88 0.734084 0.00108203
89 0.734142 0.00107143
90 0.73437 0.00108354
91 0.734449 0.00107453
92 0.734553 0.00106789
93 0.734526 0.00105675
94 0.734403 0.00105265
95 0.734341 0.00104339
96 0.734401 0.0010342
97 0.734396 0.00102355
98 0.734498 0.00101817
99 0.734442 0.0010094
100 0.734471 0.000999705
