#BLOCK AVE
1 87.2944
2 43.6901
3 29.1214
4 21.8287
5 17.4699
6 14.5563
7 12.4726
8 10.9028
9 9.71199
10 8.73363
11 7.94427
12 7.27926
13 6.71592
14 6.23328
15 5.82074
16 5.4649
17 5.1348
18 4.84965
19 4.59899
20 4.37018
