#N_BLOCK:  ACCEPTANCE:
1 0.631361
2 0.63041
3 0.630449
4 0.630496
5 0.63063
6 0.63058
7 0.630668
8 0.630766
9 0.630704
10 0.630736
11 0.63077
12 0.630737
13 0.63072
14 0.630775
15 0.630769
16 0.630685
17 0.630728
18 0.630755
19 0.630764
20 0.630737
