#BLOCK AVE
1 68.6558
2 34.3208
3 22.8805
4 17.1612
5 13.7275
6 11.4429
7 9.80708
8 8.58068
9 7.62626
10 6.86422
11 6.2407
12 5.72101
13 5.28148
14 4.90379
15 4.5763
16 4.29077
17 4.03807
18 3.81401
19 3.61283
20 3.43166
