#N_BLOCK:  ACCEPTANCE:
1 0.510302
2 0.510389
3 0.510455
4 0.510167
5 0.509966
6 0.510042
7 0.510127
8 0.510123
9 0.509997
10 0.509985
11 0.510059
12 0.509979
13 0.509974
14 0.51
15 0.510083
16 0.510129
17 0.510121
18 0.510069
19 0.510075
20 0.510064
