delta accep
2.30689 4.53704e-05
1.1537 0.000257407
0.577098 0.00220185
0.288799 0.0171833
0.14465 0.118788
0.0725748 0.389984
0.0365374 0.656591
0.0545561 0.51115
0.0635654 0.447654
0.0590608 0.478756
0.0568084 0.494381
0.0556823 0.502784
0.0562453 0.49906
