#BLOCK AVE
1 67.2265
2 33.6049
3 22.4053
4 16.8046
5 13.442
6 11.2061
7 9.60631
8 8.40361
9 7.47001
10 6.72557
11 6.11418
12 5.60445
13 5.17247
14 4.80186
15 4.48363
16 4.20057
17 3.95395
