T U Err_U M Err_M Cv Err_Cv X Err_X
1.08 -36.4411 0.0136201 -0.058468 0.0899794 20.0583 0.0595584 295.257 1.78672 
1.09 -36.2396 0.0135995 -0.043204 0.0799774 19.9243 0.0509496 287.007 1.56163 
1.1 -36.0324 0.012071 0.070126 0.0733538 19.8252 0.0323983 280.238 1.05205 
1.11 -35.8354 0.00951306 0.00789 0.0678635 19.7281 0.0410749 273.56 1.3331 
1.12 -35.6428 0.0112238 -0.068042 0.0662667 19.5913 0.0432935 266.895 0.930436 
1.13 -35.4506 0.011918 0.078612 0.0823749 19.448 0.0348239 260.003 1.26336 
1.14 -35.2557 0.0135347 0.055254 0.0667469 19.3353 0.0304668 254.883 1.24178 
1.15 -35.0651 0.0125903 0.093518 0.078408 19.2412 0.032833 248.526 1.0748 
1.16 -34.8764 0.0131468 -0.053614 0.0783544 19.1516 0.0391893 242.482 1.0888 
1.17 -34.6907 0.0132054 0.097164 0.0566657 18.9663 0.0406229 236.543 0.868044 
1.18 -34.4936 0.0142778 0.042076 0.0570072 18.8337 0.0341404 230.517 0.893917 
1.19 -34.2958 0.0127142 0.073372 0.0571614 18.7011 0.03602 225.53 0.905034 
1.2 -34.1044 0.0128194 -0.00393 0.0699394 18.5862 0.0339434 220.353 0.808823 
1.21 -33.9252 0.0131378 0.017824 0.0597233 18.4582 0.0294377 216.293 0.626358 
1.22 -33.7444 0.0110001 -0.047422 0.0502324 18.3302 0.0350257 210.462 0.666639 
1.23 -33.5492 0.0103134 0.056038 0.0513683 18.1728 0.0331166 205.789 0.558845 
1.24 -33.3752 0.00933945 -0.082464 0.0696495 18.0274 0.0322149 201.976 0.643276 
1.25 -33.1987 0.0103962 0.09101 0.0557824 17.8879 0.0304059 198.286 0.826574 
1.26 -33.0163 0.00941372 0.003558 0.0434852 17.7597 0.0266954 194.105 0.546302 
1.27 -32.8368 0.0082717 0.01291 0.0783423 17.6142 0.0304657 189.587 0.444531 
1.28 -32.6736 0.00946901 -0.052664 0.0457856 17.5213 0.0313949 185.979 0.544779 
1.29 -32.4855 0.00927523 -0.023828 0.04265 17.3808 0.0352927 182.694 0.537797 
1.3 -32.3101 0.0102211 -0.010406 0.061034 17.2232 0.030254 178.698 0.66582 
1.31 -32.1442 0.0114314 0.008066 0.0347369 17.0868 0.0213735 175.501 0.560666 
1.32 -31.9787 0.0106646 -0.049518 0.0404342 16.9884 0.0325423 172.465 0.597741 
1.33 -31.8135 0.0123292 0.05391 0.0553458 16.873 0.029245 168.888 0.455811 
1.34 -31.6482 0.0106152 0.06897 0.0574035 16.7072 0.0253978 166.8 0.467434 
1.35 -31.4752 0.010848 0.076142 0.0450202 16.5445 0.0269287 162.979 0.518712 
1.36 -31.3103 0.0101063 -0.044178 0.0485324 16.4345 0.0232118 160.196 0.483069 
1.37 -31.1468 0.0115975 0.071204 0.0464564 16.3023 0.0242356 157.098 0.496513 
1.38 -30.9757 0.0110292 -0.150128 0.0382379 16.1422 0.0301213 154.224 0.419362 
