#N_BLOCK:  ACCEPTANCE:
1 0.538089
2 0.538042
3 0.53805
4 0.53811
5 0.538128
6 0.538123
7 0.538087
8 0.538038
9 0.538065
10 0.538103
11 0.538094
12 0.538036
13 0.537978
14 0.537957
15 0.53793
16 0.537958
17 0.537952
18 0.537988
19 0.537996
20 0.538053
