beta mean unc mu sigma
1.65341 -0.11323 0.0181255 0.298866 1.13253
1.67012 -0.11323 0.0181255 0.298866 1.13253
1.68699 -0.090343 0.0177078 0.423237 1.11806
1.70403 0.0916146 0.026133 0.587433 1.11802
1.72124 0.12477 0.0233202 0.79221 0.997971
1.73862 0.242836 0.0293462 0.875208 0.978062
1.75619 0.154513 0.0211327 0.978475 0.874513
1.77393 -0.137821 0.0135437 0.987537 0.733704
1.79184 0.313696 0.0152956 1.13287 0.744439
1.80994 0.276368 0.0223999 1.00442 0.88141
1.82823 -0.261474 0.0104358 0.876887 0.785066
1.84669 0.120479 0.0138288 1.08298 0.739064
1.86535 0.123721 0.0113937 1.16506 0.610795
1.88419 0.123721 0.0113937 1.16506 0.610795
1.90322 -0.0230388 0.00661342 1.11665 0.568652
1.92245 0.0318493 0.00540708 1.07175 0.472717
1.94186 -0.076656 0.00608468 0.958872 0.470275
1.96148 0.206101 0.0109571 0.850793 0.41249
1.98129 0.204965 0.0132893 0.686926 0.40293
2.0013 -0.015337 0.00530643 0.482186 0.482925
2.02152 -0.015337 0.00530643 0.482186 0.482925
2.04194 -0.015337 0.00530643 0.482186 0.482925
2.06256 -0.288322 0.00356285 0.582312 0.596408
2.0834 -0.288322 0.00356285 0.582312 0.596408
2.10444 -0.0243734 0.0050302 0.469039 0.511109
2.1257 -0.222226 0.00645993 0.659124 0.479393
2.14717 -0.309918 0.00619911 0.711682 0.506087
2.16886 -0.394302 0.00356417 0.89071 0.576706
2.19077 -0.394308 0.00539371 0.861389 0.683194
2.2129 -0.169699 0.0122682 0.977834 0.731308
2.23525 -0.372484 0.0066829 0.778403 0.718586
2.25783 -0.356629 0.00685503 0.803482 0.749068
2.28063 -0.316808 0.0067243 0.608485 0.817284
2.30367 -0.245678 0.00958103 0.534059 0.915664
2.32694 -0.292388 0.00740062 0.582787 0.826994
2.35044 -0.269581 0.00965123 0.751683 0.846145
2.37419 -0.269581 0.00965123 0.751683 0.846145
2.39817 -0.3007 0.00648795 0.603376 0.828565
2.42239 -0.275002 0.00505321 0.503716 0.781205
2.44686 -0.347737 0.00456675 0.633075 0.734709
2.47158 -0.407421 0.00338314 0.719878 0.674522
2.49654 -0.398797 0.00334435 0.907066 0.603116
2.52176 -0.339088 0.00570859 0.95706 0.618987
2.54723 -0.371417 0.00371954 0.880891 0.543875
2.57296 -0.441314 0.00265279 0.768799 0.631367
2.59895 -0.368862 0.00418043 0.932185 0.600754
2.6252 -0.392329 0.00365402 0.909636 0.600916
2.65172 -0.182932 0.00910909 1.02157 0.661615
2.67851 -0.291033 0.00915785 0.91161 0.719984
2.70556 -0.340595 0.00709841 0.753562 0.767549
2.73289 -0.240496 0.0112839 0.847703 0.805244
2.76049 -0.269643 0.00911088 0.801223 0.818828
2.78838 -0.32856 0.00598767 0.630363 0.786614
2.81654 -0.32856 0.00598767 0.630363 0.786614
2.84499 -0.30046 0.00815156 0.72172 0.836078
2.87373 -0.309852 0.0070504 0.673476 0.812799
2.90276 -0.359296 0.00695134 0.7186 0.755323
2.93208 -0.341288 0.00711447 0.76676 0.755565
2.9617 -0.387498 0.00514922 0.871593 0.679141
2.99161 -0.442906 0.00296265 0.780995 0.602283
3.02183 -0.402956 0.00260562 0.701084 0.588111
3.05235 -0.391634 0.00339586 0.699798 0.56035
3.08319 -0.327442 0.00334649 0.617898 0.586316
3.11433 -0.312927 0.00301261 0.588471 0.632522
3.14579 -0.394491 0.00248338 0.67733 0.603965
3.17756 -0.394491 0.00248338 0.67733 0.603965
3.20966 -0.443418 0.00247029 0.798393 0.613682
3.24208 -0.428421 0.00261444 0.745567 0.585122
3.27483 -0.401248 0.00467468 0.874277 0.655916
3.30791 -0.427323 0.00282378 0.737093 0.662238
3.34132 -0.392286 0.00310242 0.678374 0.66429
3.37507 -0.378548 0.00355689 0.670581 0.682925
3.40916 -0.386199 0.00420829 0.72904 0.727747
3.4436 -0.334162 0.0078898 0.802466 0.767231
3.47838 -0.205338 0.0137747 0.812863 0.824693
3.51352 -0.292259 0.00886863 0.835321 0.772397
3.54901 -0.121595 0.0161769 0.884008 0.836605
3.58486 -0.0297225 0.0163576 0.929711 0.833267
3.62107 -0.241433 0.0114413 0.833112 0.816899
3.65764 -0.267839 0.00999294 0.807347 0.793333
3.69459 -0.290674 0.00909966 0.792306 0.800739
3.73191 -0.158672 0.0119912 0.890948 0.81751
3.76961 -0.188425 0.0126139 0.804744 0.873058
3.80768 -0.0438017 0.0201084 0.861747 0.878795
3.84614 0.12534 0.0188443 0.974789 0.856463
3.88499 0.0984371 0.0211918 0.954152 0.853527
3.92424 0.182005 0.0207993 1.04068 0.799176
3.96387 0.226192 0.0193511 1.10333 0.748757
4.00391 0.226192 0.0193511 1.10333 0.748757
4.04436 -0.0023141 0.0177794 1.00006 0.790461
4.08521 -0.0023141 0.0177794 1.00006 0.790461
4.12647 -0.0023141 0.0177794 1.00006 0.790461
4.16816 0.110633 0.0181959 1.03937 0.794675
4.21026 0.110633 0.0181959 1.03937 0.794675
4.25279 -0.0845322 0.0144972 0.991251 0.759923
4.29574 -0.159275 0.012323 0.921658 0.792092
4.33914 -0.172925 0.0108687 0.844993 0.829554
4.38296 -0.210814 0.0104004 0.776666 0.863179
4.42724 -0.209033 0.0119882 0.842282 0.816742
4.47196 -0.218039 0.0117271 0.904456 0.777441
4.51713 -0.247663 0.0105255 0.810587 0.820551
4.56276 -0.247663 0.0105255 0.810587 0.820551
4.60884 -0.319967 0.00810631 0.763274 0.795594
4.6554 -0.158024 0.0143458 0.859199 0.836945
4.70242 -0.158024 0.0143458 0.859199 0.836945
4.74992 -0.0139591 0.0164702 0.891981 0.866415
4.7979 -0.0139591 0.0164702 0.891981 0.866415
4.84636 0.0652665 0.0206132 0.941013 0.870472
4.89532 0.135548 0.022806 0.947255 0.883895
4.94476 0.0439583 0.0197791 0.861898 0.9268
4.99471 -0.0492284 0.0161919 0.802335 0.930387
5.04516 0.0218106 0.0171983 0.850155 0.926076
5.09612 -0.0667073 0.0197551 0.835221 0.883319
5.1476 -0.162427 0.0149466 0.841004 0.858454
5.1996 -0.162427 0.0149466 0.841004 0.858454
5.25212 -0.173635 0.0142977 0.820578 0.862971
5.30517 -0.119483 0.0159678 0.868766 0.85395
5.35876 -0.115796 0.0156963 0.80441 0.884389
5.41289 -0.238169 0.010643 0.744888 0.870889
5.46756 -0.238169 0.010643 0.744888 0.870889
5.52279 -0.21628 0.0124846 0.775988 0.865575
5.57858 -0.212822 0.0115829 0.795202 0.853601
5.63492 -0.295068 0.00925322 0.758053 0.814518
5.69184 -0.296109 0.00802758 0.766778 0.810674
5.74934 -0.316518 0.0083698 0.79095 0.788036
5.80741 -0.316518 0.0083698 0.79095 0.788036
5.86607 -0.316518 0.0083698 0.79095 0.788036
5.92532 -0.33206 0.00776852 0.752941 0.785565
5.98518 -0.33206 0.00776852 0.752941 0.785565
6.04563 -0.367876 0.00535693 0.753669 0.747925
6.1067 -0.336243 0.00647945 0.751686 0.782604
6.16838 -0.336243 0.00647945 0.751686 0.782604
6.23069 -0.310247 0.0100064 0.817835 0.763447
6.29363 -0.362811 0.00597224 0.746744 0.768831
6.3572 -0.332551 0.00546858 0.677999 0.786015
6.42141 -0.350285 0.00622028 0.723864 0.775818
