beta mean unc mu sigma
91.1883 -0.439598 0.002364 0.760709 0.624851
92.1094 -0.439598 0.002364 0.760709 0.624851
93.0398 -0.437057 0.00226752 0.762912 0.62396
93.9796 -0.436948 0.00278734 0.762514 0.626351
94.9289 -0.438812 0.00222844 0.760987 0.625587
95.8878 -0.432619 0.0028653 0.756781 0.627704
96.8563 -0.433331 0.00290996 0.758962 0.625319
97.8347 -0.437297 0.00267266 0.763224 0.624667
98.8229 -0.431552 0.00371908 0.761342 0.625686
99.8211 -0.439998 0.00234553 0.760321 0.627274
