#Blocks mean_1 uncer_1 mean_2 uncer_2 mean_3 uncer_3
91 1.50026 0.0003772 4.9991 0.00105144 4.9997 0.00102474
92 1.50028 0.000373699 4.99896 0.00104867 4.99993 0.00104054
93 1.50029 0.00036978 4.99885 0.00104364 4.99987 0.0010313
94 1.50028 0.000366011 4.99906 0.00105434 4.99995 0.00102311
95 1.5003 0.000362603 4.99891 0.00105341 4.99999 0.00101325
96 1.50034 0.000361077 4.99892 0.0010424 4.99999 0.00100264
97 1.50032 0.000358034 4.99886 0.00103342 5.00005 0.00099382
98 1.50028 0.0003561 4.9989 0.00102354 5.0002 0.000995988
99 1.50033 0.000355876 4.99879 0.00101875 5.00036 0.000998732
100 1.50035 0.000352987 4.9989 0.00101389 5.00024 0.000995607
