#Blocks mean_1 uncer_1 mean_2 uncer_2 mean_3 uncer_3
1 6.38817 0 5.18059 0 5.19141 0
2 14.6707 8.28252 5.20767 0.0270847 5.20034 0.00893788
3 16.4069 5.08736 5.2192 0.0194266 5.20775 0.00902438
4 19.1614 4.53075 5.2181 0.0137803 5.20863 0.00644149
5 16.0322 4.70196 5.21374 0.0115335 5.2081 0.00501687
6 22.4199 7.45263 5.21297 0.00944777 5.2136 0.00685376
7 22.3589 6.29891 5.20857 0.00911848 5.20936 0.007179
8 22.516 5.45728 5.20768 0.00794671 5.20745 0.00650174
9 146.732 124.309 5.20872 0.00708483 5.20767 0.00573787
10 132.493 112.093 5.21101 0.00673858 5.2047 0.00592543
11 198.263 120.856 5.21239 0.00624986 5.20767 0.00612771
12 186.637 110.937 5.21548 0.00648585 5.20993 0.00603031
13 172.518 103.019 5.2174 0.00626733 5.21281 0.0062509
14 233.377 113.14 5.21791 0.00582462 5.21135 0.00596841
15 273.558 112.732 5.21577 0.00582837 5.21057 0.00561123
16 260.721 106.229 5.2132 0.00602462 5.2111 0.00527615
17 333.727 123.64 5.21471 0.00585504 5.21018 0.00504034
18 316.186 117.881 5.21592 0.00565097 5.20984 0.00476457
19 299.785 112.704 5.2148 0.00546038 5.21073 0.00459396
20 290 107.368 5.21496 0.00518251 5.2105 0.00436433
21 278.008 102.829 5.21445 0.00495575 5.21134 0.00423512
22 276.138 98.061 5.21389 0.00475755 5.21115 0.00404241
23 335.691 111.024 5.21368 0.00455101 5.21109 0.00386314
24 322.044 107.17 5.2132 0.00438297 5.21055 0.00373704
25 324.77 102.83 5.21362 0.00422483 5.20876 0.00400765
26 314.427 99.3357 5.21386 0.00406589 5.20919 0.00387435
27 303.184 96.2447 5.2134 0.00393974 5.2088 0.00374893
28 292.708 93.3335 5.21373 0.00381153 5.20781 0.00374448
29 315.477 92.8915 5.21297 0.00375615 5.20789 0.00361403
30 305.586 90.2851 5.21357 0.00367843 5.20788 0.00349151
31 296.892 87.7558 5.21358 0.00355779 5.20789 0.00337703
32 287.703 85.4647 5.21421 0.00350203 5.20858 0.00333994
33 302.45 84.1369 5.21447 0.0034049 5.20802 0.0032839
34 293.669 82.0958 5.21352 0.00343906 5.20802 0.00318585
35 312.936 82.0111 5.21328 0.00334815 5.20813 0.00309571
