#Blocks mean_unif uncer_unif mean_gaus uncer_gaus mean_acc_unif uncer_acc_unif mean_acc_gaus uncer_acc_gaus
1 1.49941 0 1.50178 0 0.499843 0 0.500135 0
2 1.50258 0.00317154 1.49863 0.00314991 0.499897 5.45e-05 0.499603 0.0005325
3 1.50203 0.00191172 1.50124 0.00318137 0.500113 0.000217455 0.499888 0.000419331
4 1.50221 0.00136355 1.50305 0.00288835 0.500104 0.000154037 0.500055 0.000340347
5 1.50138 0.00134403 1.50343 0.00226951 0.499885 0.000248604 0.499948 0.000284575
6 1.50103 0.0011513 1.50341 0.00185313 0.49985 0.000206135 0.499813 0.000268358
7 1.50027 0.00123171 1.50258 0.00177245 0.499841 0.000174416 0.49977 0.000230907
8 1.50088 0.00122459 1.50207 0.00161821 0.49985 0.000151301 0.49963 0.000243821
9 1.50059 0.00111661 1.5018 0.00145315 0.499968 0.00017843 0.499595 0.000217995
10 1.50072 0.00100676 1.50235 0.00141022 0.499941 0.000161984 0.499661 0.000205827
11 1.50097 0.000945794 1.50266 0.00131388 0.499955 0.000147262 0.499649 0.000186522
12 1.5006 0.000940181 1.50218 0.00129238 0.499916 0.000140006 0.499675 0.000172228
13 1.50051 0.000869414 1.50238 0.00120621 0.499918 0.000128797 0.499674 0.000158431
14 1.50084 0.000866962 1.50276 0.00117797 0.500009 0.000150049 0.499653 0.000148164
15 1.50058 0.000847892 1.5027 0.00109836 0.500006 0.000139726 0.499622 0.000141317
16 1.5006 0.00079341 1.50226 0.00111591 0.500066 0.00014406 0.499501 0.000179137
17 1.50074 0.000759423 1.50209 0.00106189 0.500097 0.000138863 0.499462 0.000172883
18 1.50054 0.000744652 1.5019 0.00101961 0.500044 0.000141523 0.499456 0.000163094
19 1.49997 0.000903011 1.50184 0.000966141 0.499952 0.000161977 0.499418 0.000158884
20 1.49958 0.000942488 1.50202 0.000933107 0.499926 0.000155972 0.499459 0.000156219
21 1.49972 0.000907011 1.50203 0.000887685 0.499954 0.000150962 0.499472 0.000149112
22 1.49953 0.000884353 1.50229 0.000886187 0.499932 0.000145552 0.499542 0.000158823
23 1.49947 0.000847402 1.50207 0.00087594 0.499938 0.000139194 0.499507 0.000155935
24 1.49978 0.000867184 1.50245 0.000919633 0.499969 0.000136886 0.499532 0.000151392
25 1.49969 0.000836383 1.50232 0.000890743 0.499932 0.000136388 0.499484 0.000152833
26 1.49976 0.000806593 1.50219 0.000866438 0.499937 0.000131148 0.499457 0.000149271
27 1.49992 0.000793039 1.50183 0.000905223 0.499952 0.000127011 0.499421 0.000148008
28 1.49995 0.000764664 1.50173 0.000878214 0.499983 0.00012632 0.499391 0.00014586
29 1.49991 0.000738733 1.50147 0.00088818 0.499998 0.000122822 0.49939 0.000140742
30 1.49987 0.000714754 1.50141 0.000859624 0.500002 0.000118716 0.49938 0.000136362
31 1.50006 0.000717791 1.50133 0.000835771 0.500015 0.000115531 0.499359 0.00013348
32 1.50014 0.000698726 1.50122 0.000817212 0.500028 0.000112639 0.499336 0.000131262
33 1.50016 0.000677632 1.50101 0.00081873 0.500021 0.00010937 0.499301 0.000132073
34 1.50026 0.000664488 1.50093 0.000798162 0.500043 0.000108323 0.4993 0.000128133
35 1.50018 0.000650139 1.50081 0.000783794 0.50004 0.000105217 0.49932 0.00012608
36 1.50011 0.000635721 1.50072 0.000767168 0.500052 0.000102862 0.49932 0.000122529
37 1.50018 0.000622585 1.50077 0.000747853 0.500049 0.000100072 0.499326 0.000119328
38 1.50042 0.000652649 1.50065 0.000737388 0.500058 9.77916e-05 0.499316 0.000116507
39 1.50043 0.000635818 1.50071 0.000720335 0.500051 9.54681e-05 0.499334 0.00011479
40 1.50057 0.000635125 1.50091 0.000729892 0.500069 9.46569e-05 0.499337 0.000111924
41 1.50059 0.000619585 1.50083 0.000715714 0.500086 9.38501e-05 0.499342 0.000109275
42 1.50064 0.000607179 1.50089 0.000700924 0.500089 9.16591e-05 0.499339 0.000106692
43 1.50073 0.000599948 1.50089 0.000684455 0.500092 8.95537e-05 0.499318 0.000106247
44 1.50069 0.000587547 1.50093 0.000669858 0.500089 8.75521e-05 0.499323 0.000103948
45 1.50065 0.000576209 1.50094 0.00065505 0.500071 8.74898e-05 0.499328 0.000101711
46 1.50055 0.000572071 1.50085 0.000647743 0.500079 8.59792e-05 0.49931 0.000100968
47 1.50051 0.000561324 1.50085 0.000633828 0.500067 8.50913e-05 0.499321 9.93373e-05
48 1.50035 0.000572663 1.50081 0.000622348 0.500056 8.40248e-05 0.499319 9.72572e-05
49 1.5001 0.000614267 1.50072 0.000615706 0.500039 8.39793e-05 0.499294 9.85832e-05
50 1.49998 0.000613129 1.50065 0.00060661 0.500039 8.22837e-05 0.499317 9.94101e-05
51 1.49991 0.000604687 1.50058 0.000599213 0.500036 8.07233e-05 0.499305 9.82072e-05
52 1.49993 0.00059324 1.50051 0.000592345 0.500033 7.9199e-05 0.499321 9.75609e-05
53 1.5 0.000586638 1.50044 0.0005845 0.50004 7.7981e-05 0.49932 9.57076e-05
54 1.50005 0.000577599 1.50045 0.000573607 0.500041 7.65306e-05 0.499322 9.39432e-05
55 1.50005 0.000567002 1.50053 0.0005693 0.500012 8.06159e-05 0.499313 9.26025e-05
56 1.50005 0.000556786 1.50039 0.000577244 0.500035 8.25171e-05 0.499306 9.12596e-05
57 1.49994 0.000558705 1.50041 0.000567595 0.500025 8.17423e-05 0.49932 9.08369e-05
58 1.50002 0.000554444 1.50044 0.000558382 0.500031 8.05473e-05 0.499319 8.92741e-05
59 1.50007 0.000547484 1.50049 0.000551086 0.500047 8.07752e-05 0.499326 8.80942e-05
60 1.50014 0.000542372 1.5006 0.000553668 0.500049 7.94603e-05 0.499316 8.72129e-05
61 1.50021 0.000538657 1.50057 0.000545863 0.500065 7.97635e-05 0.499318 8.57815e-05
62 1.50028 0.000533884 1.50066 0.000544749 0.500072 7.87455e-05 0.499337 8.65113e-05
63 1.50043 0.000547464 1.50074 0.00054197 0.500082 7.81674e-05 0.499337 8.51282e-05
64 1.50031 0.000551308 1.50074 0.000533435 0.500061 7.97478e-05 0.499339 8.38148e-05
65 1.50027 0.000544575 1.50077 0.000526309 0.50005 7.92512e-05 0.49934 8.25191e-05
66 1.50025 0.000536694 1.50066 0.000530583 0.500055 7.81856e-05 0.499327 8.22312e-05
67 1.50023 0.000528954 1.50076 0.000531544 0.500063 7.73804e-05 0.499341 8.20637e-05
68 1.50021 0.000521615 1.50074 0.000524041 0.500062 7.62355e-05 0.499342 8.08595e-05
