#Blocks mean_1 uncer_1 mean_2 uncer_2
1 1.63325 0 5.0302 0
2 1.53225 0.100998 4.89095 0.139249
3 1.47575 0.0811965 4.76658 0.148091
4 1.47216 0.0575266 4.73807 0.108527
5 1.49777 0.0513935 4.76225 0.0874722
6 1.49673 0.0419754 4.77525 0.0725936
7 1.5244 0.0449906 4.78079 0.0616031
8 1.50277 0.0445623 4.81855 0.0653606
9 1.5017 0.039315 4.92467 0.120759
10 1.5087 0.0358543 4.92228 0.108037
11 1.51498 0.0330339 4.95691 0.103678
12 1.5122 0.0302834 4.95908 0.0946697
13 1.51284 0.027864 4.91155 0.0992078
14 1.5001 0.0287724 4.91973 0.0922121
15 1.48283 0.0318708 4.91916 0.0858467
16 1.49387 0.03179 4.90829 0.0810346
17 1.50981 0.0338524 4.90935 0.0761262
18 1.50561 0.0321925 4.93508 0.0762449
19 1.51218 0.0311536 4.94276 0.0725282
20 1.51329 0.0295756 4.96532 0.0724094
21 1.51413 0.0281446 4.98298 0.071103
22 1.50806 0.0275135 4.9769 0.0680658
23 1.51133 0.0264927 4.98068 0.0651488
24 1.51041 0.0253817 4.97495 0.0626382
25 1.50964 0.0243573 4.97829 0.0601732
26 1.50763 0.0234881 4.97355 0.0580058
27 1.50286 0.0230987 4.96834 0.056059
28 1.50277 0.0222587 4.96164 0.054434
29 1.49956 0.0217166 4.95384 0.0530992
30 1.50315 0.0212856 4.95243 0.051318
31 1.5084 0.0212452 4.95374 0.049652
32 1.51138 0.0207851 4.96931 0.0505337
33 1.50929 0.0202526 4.95962 0.0499266
34 1.5133 0.0200513 4.98262 0.053618
35 1.51483 0.0195299 4.98279 0.0520638
36 1.52081 0.0199011 4.98235 0.0505989
37 1.51763 0.0196152 4.98977 0.0497692
38 1.51177 0.0199726 4.98471 0.0487052
39 1.51237 0.0194633 4.97441 0.0485464
40 1.51501 0.019153 4.98075 0.0477401
41 1.51588 0.0187003 4.97131 0.0475075
42 1.51201 0.0186571 4.97723 0.0467384
43 1.51205 0.0182181 4.98886 0.0470974
44 1.51324 0.0178388 4.98329 0.04635
45 1.5114 0.0175351 4.99674 0.0472603
46 1.51354 0.0172831 5.0127 0.0488996
47 1.51773 0.0174217 5.00588 0.0483309
48 1.51674 0.0170831 4.99895 0.0478188
49 1.51543 0.0167825 4.99264 0.0472552
50 1.51935 0.0169043 4.99036 0.0463564
51 1.51976 0.0165748 4.99689 0.0459051
52 1.51579 0.0167328 4.99839 0.0450386
53 1.51392 0.01652 5.00675 0.0449649
54 1.51416 0.016213 5.00717 0.0441264
55 1.51364 0.015924 5.00606 0.043331
56 1.51195 0.0157282 5.00499 0.0425637
57 1.51177 0.0154508 5.02596 0.046775
58 1.51579 0.0157033 5.02723 0.0459791
59 1.51357 0.0155938 5.03071 0.0453269
60 1.5094 0.0158877 5.024 0.0450679
61 1.50748 0.015743 5.01961 0.0445393
62 1.50639 0.0155249 5.01825 0.0438361
63 1.50858 0.015432 5.0257 0.043773
64 1.50639 0.0153462 5.02676 0.0430967
65 1.50577 0.0151206 5.02067 0.0428638
66 1.50479 0.0149222 5.02044 0.04221
67 1.50283 0.0148284 5.02619 0.0419699
68 1.50436 0.0146893 5.02877 0.041429
69 1.50659 0.014645 5.0337 0.0411199
70 1.50718 0.0144465 5.02893 0.0408076
71 1.50846 0.0142986 5.03502 0.0406869
72 1.50914 0.0141149 5.03442 0.0401222
73 1.50906 0.0139204 5.02702 0.0402559
74 1.51122 0.0138996 5.02638 0.0397133
75 1.513 0.0138286 5.02592 0.039183
76 1.51297 0.0136454 5.02497 0.0386756
77 1.51094 0.0136198 5.02619 0.0381896
78 1.51161 0.0134608 5.02693 0.0377041
79 1.51079 0.0133144 5.02562 0.0372469
80 1.51095 0.0131478 5.02368 0.0368291
81 1.51019 0.0130064 5.02873 0.0367202
82 1.50913 0.0128903 5.03175 0.0363953
83 1.50928 0.0127349 5.03538 0.0361361
84 1.51123 0.0127339 5.03199 0.0358632
85 1.51121 0.0125832 5.03916 0.036156
86 1.5134 0.0126269 5.03601 0.0358717
87 1.51387 0.0124899 5.0411 0.0358207
88 1.51493 0.0123921 5.03702 0.0356452
89 1.51358 0.0123255 5.03122 0.0357165
90 1.51161 0.0123472 5.03458 0.0354761
91 1.5135 0.012357 5.03185 0.0351899
92 1.51202 0.0123119 5.02959 0.0348785
93 1.51081 0.0122386 5.03004 0.0345043
94 1.50912 0.0122251 5.03097 0.0341481
95 1.51182 0.0123944 5.03384 0.0339081
96 1.51248 0.0122823 5.03809 0.0338207
97 1.51486 0.0123862 5.042 0.0336979
98 1.51419 0.0122776 5.04423 0.0334272
99 1.51443 0.0121553 5.04575 0.0331226
100 1.51279 0.0121444 5.04645 0.0327973
