#Blocks mean_1 uncer_1 mean_2 uncer_2
1 1.50315 0 4.99227 0
2 1.50113 0.00201923 4.99217 9.66137e-05
3 1.49805 0.00329779 4.99592 0.00374588
4 1.49928 0.00263767 4.9976 0.00313692
5 1.49869 0.00212715 4.99986 0.0033162
6 1.49875 0.00173804 5.00249 0.00378015
7 1.49911 0.00151272 5.00082 0.00360755
8 1.49909 0.00131031 5.00089 0.00312518
9 1.49835 0.00136984 5.00052 0.00278097
10 1.49802 0.00126881 5.00059 0.00248817
11 1.49803 0.0011477 4.99992 0.00234623
12 1.49763 0.00112061 5.00258 0.00341436
13 1.49826 0.00120523 5.00262 0.00314093
14 1.49847 0.0011358 5.00146 0.00312857
15 1.49853 0.00105886 5.00244 0.0030727
16 1.4986 0.000993567 5.00249 0.00287462
17 1.49865 0.000934354 5.00253 0.00270065
18 1.49886 0.000906233 5.0022 0.00256774
19 1.49875 0.000864713 5.00194 0.00244307
20 1.49893 0.000840123 5.00197 0.00231785
21 1.49929 0.00087569 5.00265 0.00230737
22 1.49921 0.000838118 5.00299 0.00222676
23 1.49915 0.000803118 5.00285 0.0021321
24 1.49946 0.000829615 5.00258 0.00205969
25 1.49938 0.000799874 5.00253 0.00197633
26 1.49903 0.000847487 5.00204 0.00195967
27 1.49939 0.000893626 5.00171 0.00191384
28 1.49952 0.000870281 5.00152 0.00185457
29 1.49967 0.000853418 5.00158 0.00179051
30 1.50021 0.000986746 5.00134 0.00174611
31 1.50013 0.000958004 5.00101 0.00172124
32 1.49994 0.000946264 5.00075 0.00168617
33 1.49992 0.000917395 5.00069 0.00163564
34 1.49996 0.000890824 5.00058 0.00159043
35 1.50013 0.000881532 5.00038 0.00155642
36 1.50003 0.000862752 5.00057 0.00152412
37 1.50033 0.00089329 5 0.00158923
38 1.50042 0.000873635 5.00007 0.00154845
39 1.50048 0.000853352 4.99996 0.00151216
40 1.50046 0.000831959 4.99999 0.0014741
41 1.50048 0.000811628 5.00015 0.00144701
42 1.50044 0.000793215 5.00027 0.00141715
43 1.50036 0.000778434 5.00015 0.00138856
44 1.50046 0.000766644 5.00005 0.00136028
45 1.50051 0.000751061 5.00028 0.00134924
46 1.50049 0.000734762 5.00005 0.00134037
47 1.50049 0.000718976 5.00015 0.00131535
48 1.50048 0.000703906 5.00005 0.00129132
49 1.50046 0.000689609 4.99987 0.00127718
50 1.50041 0.000677126 4.99995 0.0012538
51 1.50041 0.000663716 4.99987 0.00123132
52 1.50038 0.000651531 4.99989 0.00120752
53 1.50028 0.00064793 5.00019 0.00122205
54 1.50032 0.000637444 5.00035 0.00120916
55 1.50028 0.00062751 5.00027 0.00118944
56 1.50034 0.000619111 5.0005 0.00118989
57 1.50046 0.000620434 5.00047 0.00116909
58 1.50048 0.000610017 5.00033 0.00115715
59 1.50045 0.000600471 5.00025 0.00114022
60 1.50048 0.000591505 5.00065 0.00119063
61 1.50051 0.000582358 5.00045 0.00118919
62 1.50049 0.000573232 5.0003 0.0011785
63 1.50049 0.000564062 5.00053 0.0011812
64 1.50051 0.000555578 5.00064 0.00116792
65 1.50052 0.000546983 5.00052 0.00115582
66 1.5005 0.000539043 5.00026 0.00116867
67 1.50053 0.000531757 5.00038 0.0011575
68 1.50033 0.000560336 5.00034 0.00114084
69 1.50031 0.000552348 5.00035 0.00112419
70 1.50036 0.000546575 5.00056 0.00112805
71 1.50028 0.00054426 5.00038 0.00112625
72 1.50034 0.000539283 5.0005 0.00111721
73 1.5003 0.00053308 5.0004 0.00110706
74 1.50025 0.000528458 5.00037 0.00109231
75 1.50023 0.000521565 5.00057 0.00109571
76 1.5003 0.000518429 5.00051 0.00108258
77 1.50023 0.000515534 5.00043 0.00107168
78 1.5003 0.000512884 5.0004 0.00105834
79 1.50023 0.000511057 5.00037 0.00104526
80 1.50021 0.000504892 5.00027 0.00103665
81 1.50034 0.000513786 5.00035 0.00102693
82 1.50034 0.000507529 5.00057 0.00103715
83 1.50034 0.000501437 5.00048 0.00102852
84 1.50031 0.000496298 5.00029 0.00103404
85 1.50035 0.00049231 5.00044 0.00103307
86 1.50037 0.000487051 5.00047 0.00102145
87 1.50033 0.000483313 5.00051 0.00101047
88 1.50031 0.000478306 5.00046 0.00100036
89 1.5003 0.000472933 5.00024 0.00101364
90 1.50026 0.000469316 5.00029 0.00100387
91 1.50029 0.000465158 5.00044 0.00100386
92 1.50022 0.000465247 5.00036 0.000996295
93 1.50024 0.000460443 5.00049 0.000994021
94 1.50022 0.00045577 5.00026 0.00100985
95 1.50028 0.000454582 5.00014 0.0010061
96 1.50027 0.00045001 5.00025 0.00100124
97 1.50024 0.000446469 5.00033 0.000994104
98 1.50023 0.000441905 5.00026 0.000986221
99 1.50016 0.000442484 5.00027 0.000976313
100 1.50022 0.000441221 5.00026 0.000966592
