#Blocks mean_1 uncer_1 mean_2 uncer_2
1 1.52343 0 5.15336 0
2 1.50501 0.0184136 4.9707 0.182657
3 1.53315 0.0300784 4.93214 0.112286
4 1.52102 0.0244838 4.92871 0.0794723
5 1.51661 0.0194711 4.9869 0.0847097
6 1.50553 0.0193795 4.96199 0.0735143
7 1.50676 0.0164251 4.95855 0.0622262
8 1.51419 0.0160462 4.97916 0.0576964
9 1.52405 0.0172457 4.99121 0.0522908
10 1.5153 0.0177336 4.98943 0.0468042
11 1.51189 0.0163977 4.99921 0.04345
12 1.50871 0.0153036 5.00087 0.0396989
13 1.50905 0.0140812 5.00758 0.0371298
14 1.51274 0.0135505 5.00024 0.0351504
15 1.5081 0.0134417 4.99837 0.032777
16 1.50752 0.0125869 5.00299 0.0310073
17 1.50468 0.0121609 5.00615 0.029297
18 1.50138 0.0119291 5.01325 0.0285202
19 1.50398 0.0115784 5.01376 0.0269821
20 1.5051 0.0110413 5.00392 0.0274246
21 1.50627 0.0105675 5.00332 0.0260929
22 1.50216 0.0108843 4.99923 0.0252122
23 1.50456 0.0106741 5.00401 0.0245612
24 1.50308 0.0103257 5.00534 0.0235532
25 1.5047 0.010035 5.00647 0.0226196
26 1.50487 0.00964281 5.00284 0.0220338
27 1.50181 0.00977008 4.99846 0.0216495
28 1.49974 0.0096394 4.99206 0.0218218
29 1.49877 0.00935136 4.99004 0.021152
30 1.49868 0.00903468 4.99276 0.020615
31 1.5 0.00883752 4.99145 0.0199817
32 1.50008 0.00855723 4.99721 0.0201859
33 1.49916 0.0083447 4.99551 0.0196386
34 1.49828 0.00814361 4.98751 0.0206637
35 1.49998 0.00808765 4.98797 0.0200699
36 1.50017 0.00786211 4.99204 0.019924
37 1.5013 0.00773072 4.9938 0.019458
38 1.50122 0.00752506 4.99147 0.0190823
39 1.5001 0.00741319 4.99462 0.0188524
40 1.49963 0.00724099 4.99544 0.0183932
41 1.50059 0.00712677 4.9936 0.0180328
42 1.50078 0.00695761 4.99229 0.017647
43 1.5006 0.00679619 4.98944 0.0174657
44 1.49989 0.00667807 4.99195 0.0172479
45 1.50088 0.00660242 4.99338 0.0169206
46 1.50133 0.00647305 4.99082 0.0167451
47 1.50106 0.00633933 4.98629 0.0170008
48 1.50188 0.00625973 4.98838 0.0167742
49 1.50161 0.0061367 4.98622 0.0165695
50 1.50137 0.00601765 4.98704 0.0162552
51 1.50103 0.00590827 4.98976 0.0161644
52 1.50062 0.00580795 4.99035 0.0158615
53 1.50168 0.00579452 4.9913 0.0155884
54 1.50096 0.00573165 4.99011 0.0153437
55 1.50076 0.00562993 4.98894 0.015107
56 1.50159 0.00559016 4.99235 0.0152202
57 1.50177 0.00549438 4.99494 0.0151738
58 1.50092 0.00546604 4.99555 0.0149222
59 1.50155 0.00540983 4.99633 0.0146881
60 1.50133 0.00532366 4.99857 0.0146137
61 1.50122 0.0052367 4.99677 0.0144848
62 1.50107 0.00515387 4.99681 0.0142493
63 1.50113 0.00507181 4.99582 0.0140566
64 1.50048 0.00503418 4.99409 0.0139432
65 1.50031 0.00495896 4.99507 0.0137623
66 1.5004 0.00488401 4.99614 0.0135942
67 1.50021 0.00481419 4.99867 0.0136264
68 1.50056 0.00475583 4.99708 0.0135187
69 1.50036 0.00469095 4.99861 0.0134091
70 1.50097 0.00466419 4.99878 0.0132173
71 1.49978 0.00475133 4.99756 0.0130872
72 1.50118 0.00489145 5.00056 0.0132483
73 1.50297 0.00514358 4.9999 0.0130818
74 1.50288 0.00507436 5.00064 0.012925
75 1.50351 0.00504636 4.99707 0.0132435
76 1.50402 0.00500567 4.9965 0.0130803
77 1.50416 0.00494196 4.99529 0.0129659
78 1.50413 0.00487829 4.99407 0.0128564
79 1.50364 0.00484064 4.99464 0.0127054
80 1.50351 0.0047814 4.99668 0.0127091
81 1.50347 0.00472222 4.99674 0.0125514
82 1.50307 0.00468121 4.99673 0.0123974
83 1.50235 0.00468091 4.9955 0.0123089
84 1.50202 0.00463649 4.9964 0.0121951
85 1.50264 0.00462352 4.99583 0.0120645
86 1.50267 0.00456953 4.99694 0.0119757
87 1.5023 0.00453136 4.99807 0.0118911
88 1.50227 0.00447966 4.99676 0.0118281
89 1.50249 0.00443434 4.99633 0.0117024
90 1.50343 0.00448417 4.99839 0.0117526
91 1.50284 0.00447342 4.99617 0.0118325
92 1.50144 0.00464179 4.99711 0.0117411
93 1.50145 0.00459163 4.99821 0.0116662
94 1.5019 0.00456454 4.9992 0.0115838
95 1.50217 0.00452439 4.99817 0.0115072
96 1.50192 0.00448401 4.99805 0.0113874
97 1.50222 0.00444732 4.99762 0.0112776
98 1.50237 0.00440438 4.99779 0.0111633
99 1.50266 0.00436917 4.9993 0.0111521
100 1.5029 0.00433178 4.99911 0.0110416
