#Blocks mean_1 uncer_1 mean_2 uncer_2
1 1.49809 0 5.00564 0
2 1.50776 0.00966607 5.00716 0.0015137
3 1.50666 0.005687 4.98923 0.0179493
4 1.50807 0.00426173 5.00716 0.0219706
5 1.50464 0.00476278 5.01216 0.0177365
6 1.50334 0.00409911 5.01173 0.0144882
7 1.50348 0.00346708 5.0138 0.0124185
8 1.50649 0.00425437 5.01623 0.0110252
9 1.50325 0.0049608 5.01179 0.010689
10 1.50256 0.00449081 5.00974 0.00977607
11 1.50507 0.00477913 5.01168 0.00905164
12 1.5059 0.00444068 5.01279 0.00833814
13 1.50416 0.00444089 5.00901 0.00855221
14 1.50547 0.00431457 5.0111 0.00818891
15 1.50503 0.00404081 5.01258 0.00776594
16 1.50421 0.00386709 5.0113 0.00737703
17 1.50302 0.00382363 5.0091 0.00726951
18 1.50399 0.00373423 5.00778 0.00697995
19 1.50349 0.0035669 5.01001 0.00696774
20 1.5028 0.00345466 5.01146 0.00676921
21 1.50293 0.00328857 5.01159 0.00644006
22 1.50307 0.00313892 5.01157 0.00614038
23 1.50243 0.00306769 5.01132 0.00587271
24 1.50135 0.00312977 5.01121 0.00562372
25 1.50167 0.00301945 5.0115 0.00540183
26 1.50234 0.00297622 5.01064 0.00526179
27 1.5019 0.00289671 5.008 0.00570693
28 1.50179 0.00279341 5.00857 0.00552843
29 1.50137 0.00272903 5.00839 0.00533752
30 1.50171 0.00265871 5.00916 0.00521409
31 1.50161 0.00257334 5.0103 0.00517004
32 1.50054 0.00271428 5.00893 0.0051889
33 1.50071 0.00263655 5.00826 0.00507463
34 1.50131 0.00262736 5.00654 0.00521181
35 1.50121 0.00255319 5.0068 0.0050673
36 1.5006 0.00255444 5.00634 0.00494652
37 1.5012 0.00255608 5.0066 0.00481807
38 1.50158 0.00251568 5.0056 0.00479371
39 1.50181 0.00246146 5.0054 0.00467389
40 1.50178 0.00239933 5.00422 0.00470517
41 1.5015 0.00235643 5.00244 0.00492117
42 1.50179 0.0023173 5.00249 0.00480283
43 1.50181 0.00226285 5.00248 0.00468982
44 1.50188 0.00221184 5.00253 0.00458233
45 1.50188 0.00216213 5.00239 0.00448165
46 1.50224 0.00214577 5.00156 0.00446104
47 1.50203 0.00211048 5.00172 0.00436782
48 1.50192 0.00206876 5.00181 0.00427691
49 1.50173 0.00203498 5.00051 0.00438557
50 1.50149 0.0020092 4.99942 0.00443239
51 1.50129 0.00197916 4.99987 0.00436777
52 1.50107 0.00195357 4.99976 0.00428456
53 1.50124 0.00192375 4.9996 0.0042057
54 1.50106 0.00189564 4.99993 0.00414012
55 1.5011 0.00186127 4.99962 0.00407644
56 1.50104 0.0018287 5.00025 0.00405341
57 1.50109 0.00179694 5.00117 0.00408626
58 1.50106 0.00176595 5.00167 0.00404566
59 1.50108 0.00173585 5.00108 0.00401908
60 1.50134 0.00172728 5.00136 0.00396089
61 1.50154 0.00171031 5.00171 0.00391164
62 1.50158 0.00168306 5.00145 0.00385718
63 1.50163 0.00165687 5.00168 0.00380254
64 1.50187 0.00164773 5.0017 0.00374273
65 1.50202 0.00162891 5.00205 0.00370143
66 1.50203 0.00160409 5.00225 0.00365015
67 1.50196 0.00158145 5.00226 0.00359529
68 1.50171 0.00157778 5.00301 0.00361945
69 1.50142 0.00158302 5.00307 0.00356706
70 1.50175 0.00159472 5.0031 0.00351593
71 1.50194 0.00158429 5.00328 0.00347064
72 1.50198 0.00156257 5.00248 0.00351436
73 1.50201 0.00154134 5.0025 0.00346594
74 1.50183 0.00153153 5.00228 0.00342574
75 1.50177 0.00151188 5.00207 0.00338667
76 1.50203 0.00151319 5.00232 0.0033517
77 1.50196 0.00149503 5.00188 0.00333695
78 1.50176 0.00148935 5.00163 0.00330352
79 1.50178 0.00147053 5.00195 0.00327644
80 1.50187 0.00145506 5.00253 0.00328689
81 1.50179 0.00143938 5.00191 0.00330431
82 1.50167 0.00142659 5.00184 0.00326445
83 1.50158 0.00141214 5.00159 0.00323464
84 1.50148 0.00139898 5.00137 0.00320376
85 1.50157 0.00138564 5.00104 0.00318243
86 1.50171 0.00137614 5.00095 0.00314643
87 1.50167 0.00136087 5.00123 0.00312225
88 1.50164 0.00134552 5.001 0.0030949
89 1.50148 0.00134036 5.00081 0.00306578
90 1.50129 0.00133826 5.0006 0.00303917
91 1.50147 0.00133492 5.0001 0.00304659
92 1.50135 0.0013258 4.99988 0.00302139
93 1.50139 0.00131202 5.00028 0.00301562
94 1.50146 0.00130029 5.0002 0.00298444
95 1.5015 0.00128703 4.99984 0.00297514
96 1.50136 0.00128099 4.99982 0.00294403
97 1.50144 0.00127029 5.00031 0.00295491
98 1.50164 0.00127232 5.00001 0.00294076
99 1.5016 0.00126 4.99981 0.00291757
100 1.50148 0.00125304 4.99977 0.00288858
