x y z R
-0.213754 0.144981 -0.667558 0.715782
-0.213754 0.144981 -0.667558 0.715782
-0.213754 0.144981 -0.667558 0.715782
-0.213754 0.144981 -0.667558 0.715782
-0.213754 0.144981 -0.667558 0.715782
-0.213754 0.144981 -0.667558 0.715782
0.453977 0.78641 -0.486916 1.03035
0.965902 -0.432392 -0.655151 1.24465
0.999558 -0.452097 0.359034 1.1543
-0.0848511 -0.765528 1.13768 1.37388
-0.0848511 -0.765528 1.13768 1.37388
-0.0848511 -0.765528 1.13768 1.37388
-0.0848511 -0.765528 1.13768 1.37388
-0.0848511 -0.765528 1.13768 1.37388
0.280097 0.0161885 0.117426 0.304146
0.280097 0.0161885 0.117426 0.304146
0.280097 0.0161885 0.117426 0.304146
1.39707 0.947748 0.354346 1.72499
1.90352 0.625906 -0.461767 2.0563
1.90352 0.625906 -0.461767 2.0563
2.60395 1.23721 -1.5081 3.25355
2.10652 1.36707 -1.05946 2.72558
2.10652 1.36707 -1.05946 2.72558
1.93212 0.193501 -1.17125 2.26768
2.21038 -0.995129 -0.4062 2.45786
1.95875 -0.173859 0.611515 2.05934
1.51782 -1.13581 -0.209081 1.90724
1.51782 -1.13581 -0.209081 1.90724
1.51782 -1.13581 -0.209081 1.90724
0.993797 -2.08923 -1.17057 2.59282
0.993797 -2.08923 -1.17057 2.59282
-0.0458048 -1.56787 -0.679913 1.70956
-0.0458048 -1.56787 -0.679913 1.70956
-0.0458048 -1.56787 -0.679913 1.70956
0.153085 -1.14409 -1.11471 1.60467
-0.957419 -1.28496 0.0764195 1.60425
-1.1067 -0.853164 0.86018 1.64091
-0.559829 -0.236468 1.43387 1.55734
-0.559829 -0.236468 1.43387 1.55734
-0.593455 0.84189 2.05005 2.29427
-1.42315 -0.224691 0.920054 1.70949
-1.6605 -0.73244 -0.239132 1.83055
-1.59473 0.266598 0.494452 1.69077
-1.59473 0.266598 0.494452 1.69077
-1.59473 0.266598 0.494452 1.69077
-1.59473 0.266598 0.494452 1.69077
-1.67607 -0.18857 0.206776 1.69927
-1.12425 -0.928174 -0.187876 1.46994
-1.12425 -0.928174 -0.187876 1.46994
-0.699541 -0.994027 0.464784 1.30133
-0.699541 -0.994027 0.464784 1.30133
-0.0466247 0.0716234 0.782545 0.787198
-0.0466247 0.0716234 0.782545 0.787198
0.853688 0.884817 0.408494 1.29559
0.386846 0.912262 0.847429 1.30384
0.386846 0.912262 0.847429 1.30384
0.386846 0.912262 0.847429 1.30384
0.386846 0.912262 0.847429 1.30384
0.386846 0.912262 0.847429 1.30384
-0.0304906 0.874942 1.84798 2.04486
-0.0304906 0.874942 1.84798 2.04486
1.06471 1.37748 1.24913 2.14275
1.77422 0.589798 0.891577 2.07138
1.77422 0.589798 0.891577 2.07138
1.77422 0.589798 0.891577 2.07138
2.11016 0.42091 1.19709 2.46231
2.69404 -0.622729 0.403234 2.79432
2.69404 -0.622729 0.403234 2.79432
3.10261 0.529347 -0.285167 3.16034
3.10261 0.529347 -0.285167 3.16034
2.19619 0.806639 -0.679834 2.43641
1.13414 0.973541 -1.37426 2.03043
1.13414 0.973541 -1.37426 2.03043
0.319685 0.0905035 -0.351551 0.483712
0.319685 0.0905035 -0.351551 0.483712
0.319685 0.0905035 -0.351551 0.483712
0.319685 0.0905035 -0.351551 0.483712
0.319685 0.0905035 -0.351551 0.483712
0.319685 0.0905035 -0.351551 0.483712
0.319685 0.0905035 -0.351551 0.483712
0.319685 0.0905035 -0.351551 0.483712
0.319685 0.0905035 -0.351551 0.483712
0.319685 0.0905035 -0.351551 0.483712
0.319685 0.0905035 -0.351551 0.483712
0.319685 0.0905035 -0.351551 0.483712
0.319685 0.0905035 -0.351551 0.483712
0.319685 0.0905035 -0.351551 0.483712
0.319685 0.0905035 -0.351551 0.483712
0.319685 0.0905035 -0.351551 0.483712
0.319685 0.0905035 -0.351551 0.483712
-0.00562981 1.21472 0.117167 1.22037
0.705669 0.781476 -0.298197 1.09435
0.705669 0.781476 -0.298197 1.09435
0.944378 1.90834 -0.558455 2.20125
0.944378 1.90834 -0.558455 2.20125
0.669187 1.6635 -1.01083 2.05835
0.276952 1.1139 -0.428713 1.22526
0.276952 1.1139 -0.428713 1.22526
0.276952 1.1139 -0.428713 1.22526
0.276952 1.1139 -0.428713 1.22526
0.588504 -0.0302545 -1.58376 1.68984
0.792809 -0.848752 -1.37637 1.80092
0.792809 -0.848752 -1.37637 1.80092
1.48081 -1.31348 -1.00963 2.22202
0.808929 -1.32013 -0.753352 1.72182
0.195894 -0.61397 -1.49546 1.62842
0.195894 -0.61397 -1.49546 1.62842
0.952831 -1.75958 -0.962536 2.22047
0.56122 -1.3341 0.0385655 1.44785
0.56122 -1.3341 0.0385655 1.44785
0.56122 -1.3341 0.0385655 1.44785
1.39985 -0.433865 -0.898206 1.71889
1.39985 -0.433865 -0.898206 1.71889
2.58145 0.222728 0.29553 2.60784
2.58145 0.222728 0.29553 2.60784
2.21806 1.00402 -0.527229 2.49114
0.994324 1.49109 -1.46014 2.31171
0.265255 0.554633 -0.633079 0.882478
0.48399 -0.393547 0.379834 0.730342
0.759592 -0.652266 0.105281 1.00674
0.759592 -0.652266 0.105281 1.00674
0.707896 0.253506 -1.04597 1.28819
-0.135396 -0.561862 0.0859773 0.584305
-0.135396 -0.561862 0.0859773 0.584305
-0.135396 -0.561862 0.0859773 0.584305
-0.135396 -0.561862 0.0859773 0.584305
-0.135396 -0.561862 0.0859773 0.584305
-0.135396 -0.561862 0.0859773 0.584305
-0.135396 -0.561862 0.0859773 0.584305
-0.135396 -0.561862 0.0859773 0.584305
-0.135396 -0.561862 0.0859773 0.584305
-0.135396 -0.561862 0.0859773 0.584305
-0.135396 -0.561862 0.0859773 0.584305
-0.135396 -0.561862 0.0859773 0.584305
-0.135396 -0.561862 0.0859773 0.584305
-0.135396 -0.561862 0.0859773 0.584305
-0.00843528 -0.435729 1.14383 1.22405
1.06962 -0.598047 0.193435 1.24063
0.982856 0.538244 -0.90319 1.43926
1.03746 0.803526 -0.376826 1.36528
1.03746 0.803526 -0.376826 1.36528
-0.0951622 0.937964 0.560974 1.09705
-0.0951622 0.937964 0.560974 1.09705
-0.0951622 0.937964 0.560974 1.09705
-0.0951622 0.937964 0.560974 1.09705
-0.0951622 0.937964 0.560974 1.09705
-0.0951622 0.937964 0.560974 1.09705
-0.0951622 0.937964 0.560974 1.09705
0.877386 1.27559 1.27048 2.00276
0.191185 1.01485 0.438838 1.12207
0.191185 1.01485 0.438838 1.12207
-0.603833 1.47064 -0.421831 1.64479
-0.28541 0.338273 0.173544 0.4754
-0.28541 0.338273 0.173544 0.4754
-0.28541 0.338273 0.173544 0.4754
-0.28541 0.338273 0.173544 0.4754
-0.28541 0.338273 0.173544 0.4754
-1.45874 -0.279893 1.01761 1.8005
-0.421619 -0.602441 0.552877 0.919984
-0.421619 -0.602441 0.552877 0.919984
-1.18537 -0.209466 1.5054 1.92749
-1.18537 -0.209466 1.5054 1.92749
-0.749335 0.137348 1.27661 1.48664
0.0776478 0.402996 1.47363 1.52972
0.0776478 0.402996 1.47363 1.52972
0.0776478 0.402996 1.47363 1.52972
0.0776478 0.402996 1.47363 1.52972
0.0776478 0.402996 1.47363 1.52972
0.97791 0.248826 0.882004 1.34021
0.97791 0.248826 0.882004 1.34021
0.274837 0.127101 0.0523166 0.30729
0.274837 0.127101 0.0523166 0.30729
0.160796 -0.742009 -0.344951 0.833921
0.160796 -0.742009 -0.344951 0.833921
-0.710713 -0.53792 0.6962 1.131
-0.555569 0.025353 0.642091 0.849459
-0.555569 0.025353 0.642091 0.849459
-0.555569 0.025353 0.642091 0.849459
0.46494 0.425675 0.681682 0.928471
0.46494 0.425675 0.681682 0.928471
0.46494 0.425675 0.681682 0.928471
1.5549 0.0996482 0.537298 1.64813
1.5549 0.0996482 0.537298 1.64813
1.5549 0.0996482 0.537298 1.64813
0.566482 -0.0919865 0.561047 0.802581
0.566482 -0.0919865 0.561047 0.802581
0.566482 -0.0919865 0.561047 0.802581
0.276604 -0.209894 0.934082 0.996532
0.276604 -0.209894 0.934082 0.996532
-0.503974 -0.0521128 1.9407 2.00575
-0.503974 -0.0521128 1.9407 2.00575
-1.25013 -0.861692 1.61328 2.21541
-1.25013 -0.861692 1.61328 2.21541
-1.22327 0.325443 0.680292 1.43705
-1.10403 0.989584 0.212519 1.49777
-1.10403 0.989584 0.212519 1.49777
-1.10403 0.989584 0.212519 1.49777
-1.10403 0.989584 0.212519 1.49777
-1.60564 -0.0325566 1.11149 1.95309
-1.08496 -0.0607256 1.41255 1.78217
-0.772865 0.851256 0.346311 1.20079
-0.772865 0.851256 0.346311 1.20079
-0.772865 0.851256 0.346311 1.20079
-0.772865 0.851256 0.346311 1.20079
-0.772865 0.851256 0.346311 1.20079
-0.772865 0.851256 0.346311 1.20079
-1.0225 -0.0275201 0.805284 1.30183
-1.0225 -0.0275201 0.805284 1.30183
-0.306281 0.76406 1.2068 1.46081
-0.195947 -0.432782 0.71157 0.855586
-0.195947 -0.432782 0.71157 0.855586
-0.417766 -0.828857 1.39795 1.67804
-0.417766 -0.828857 1.39795 1.67804
-0.417766 -0.828857 1.39795 1.67804
-0.476514 -0.219446 1.21916 1.32724
-0.476514 -0.219446 1.21916 1.32724
-0.476514 -0.219446 1.21916 1.32724
-0.476514 -0.219446 1.21916 1.32724
-0.476514 -0.219446 1.21916 1.32724
0.420327 -0.153998 1.72018 1.77747
-0.226883 0.59337 1.10406 1.27378
-0.226883 0.59337 1.10406 1.27378
-0.0306942 1.09676 0.127849 1.10462
-0.0306942 1.09676 0.127849 1.10462
-0.0306942 1.09676 0.127849 1.10462
-0.0306942 1.09676 0.127849 1.10462
-0.0306942 1.09676 0.127849 1.10462
-0.0306942 1.09676 0.127849 1.10462
0.748714 2.23837 -0.83048 2.50212
-0.211414 3.0218 -0.739302 3.1181
-0.141989 3.08354 -1.16323 3.29871
-0.0871448 2.32663 -1.10885 2.57882
-0.0871448 2.32663 -1.10885 2.57882
-0.107473 2.95978 -0.354806 2.9829
-0.107473 2.95978 -0.354806 2.9829
-0.107473 2.95978 -0.354806 2.9829
-0.107473 2.95978 -0.354806 2.9829
-0.938037 2.17793 0.36691 2.39957
-0.938037 2.17793 0.36691 2.39957
0.234002 2.19424 1.09534 2.46358
-0.881181 1.71241 1.12685 2.23128
-0.904434 1.11002 0.297405 1.46239
-0.904434 1.11002 0.297405 1.46239
-0.405989 0.561675 0.489635 0.848556
-0.405989 0.561675 0.489635 0.848556
0.488856 -0.044637 -0.0254083 0.491546
0.488856 -0.044637 -0.0254083 0.491546
0.488856 -0.044637 -0.0254083 0.491546
-0.547466 -0.49001 0.758753 1.05619
-0.100354 -1.19029 0.14 1.20269
-0.100354 -1.19029 0.14 1.20269
-0.100354 -1.19029 0.14 1.20269
0.0293219 -0.641806 -0.589707 0.872083
0.83019 -0.0133874 0.259026 0.869764
1.44911 -0.974023 1.40196 2.23922
0.673183 -1.43255 1.35717 2.08502
-0.443511 -1.87955 0.707225 2.0566
0.711145 -1.16155 0.910856 1.63847
-0.271378 -0.678555 1.40855 1.58685
-0.271378 -0.678555 1.40855 1.58685
-0.979385 -0.285918 1.29554 1.64905
-0.979385 -0.285918 1.29554 1.64905
-2.12349 0.204213 0.923501 2.3246
-2.9435 -0.34068 0.946145 3.11054
-3.1331 0.59895 0.304495 3.20434
-2.45752 0.640107 0.25515 2.5523
-1.50905 1.72697 1.26396 2.61864
-0.832996 2.36224 0.657205 2.58959
-0.832996 2.36224 0.657205 2.58959
-0.832996 2.36224 0.657205 2.58959
-0.181442 2.23245 0.903831 2.4153
0.0870774 2.11928 1.44132 2.56444
0.646594 1.80599 1.59998 2.49793
0.646594 1.80599 1.59998 2.49793
0.646594 1.80599 1.59998 2.49793
0.646594 1.80599 1.59998 2.49793
1.09346 1.21655 1.6142 2.29811
1.09346 1.21655 1.6142 2.29811
0.25789 1.1271 1.21017 1.67373
-0.617272 0.463661 0.850499 1.14863
-0.0588017 1.00468 -0.158335 1.01878
-0.550375 1.17472 0.0251473 1.2975
-0.550375 1.17472 0.0251473 1.2975
0.659659 1.49877 -0.0485435 1.63824
1.37101 1.08388 -0.0523636 1.74849
0.831763 1.46387 0.122097 1.68809
0.0138183 0.461385 1.00681 1.10758
0.116159 0.289867 1.73614 1.764
-0.380372 0.334171 2.75714 2.80325
-0.220725 -0.667557 2.50631 2.60306
-0.220725 -0.667557 2.50631 2.60306
-0.220725 -0.667557 2.50631 2.60306
0.502593 0.363391 2.00883 2.10239
-0.716604 -0.516591 1.49388 1.73553
-0.716604 -0.516591 1.49388 1.73553
-0.716604 -0.516591 1.49388 1.73553
-0.716604 -0.516591 1.49388 1.73553
-0.906917 0.300595 0.429948 1.04772
0.296951 -0.320809 -0.712597 0.835998
0.296951 -0.320809 -0.712597 0.835998
-0.293115 -0.755588 -1.63335 1.82337
-0.991175 -0.581817 -0.836993 1.42179
-1.6235 0.170025 -0.330945 1.66559
-1.6235 0.170025 -0.330945 1.66559
-0.666386 -0.39826 -1.1554 1.39198
0.423409 -0.304456 0.0677631 0.52589
0.423409 -0.304456 0.0677631 0.52589
0.423409 -0.304456 0.0677631 0.52589
0.180068 0.212577 0.169243 0.32597
0.180068 0.212577 0.169243 0.32597
0.180068 0.212577 0.169243 0.32597
0.180068 0.212577 0.169243 0.32597
-0.9815 1.09829 0.912544 1.73272
-0.56825 0.830627 0.963261 1.3931
-0.56825 0.830627 0.963261 1.3931
-0.56825 0.830627 0.963261 1.3931
-0.324151 0.196168 0.128693 0.400147
-0.324151 0.196168 0.128693 0.400147
0.583297 0.22359 0.167607 0.646777
0.277707 0.382486 -0.0103954 0.472784
0.277707 0.382486 -0.0103954 0.472784
0.371947 -0.0289727 -0.509628 0.631589
0.0970336 -0.461692 0.0971817 0.481684
0.0970336 -0.461692 0.0971817 0.481684
0.0970336 -0.461692 0.0971817 0.481684
-1.0527 -1.42773 0.588051 1.86879
-1.9372 -0.273273 1.8094 2.66484
