#Blocks mean_1 uncer_1 mean_2 uncer_2 mean_3 uncer_3
1 1.50432 0 5.00057 0 4.99681 0
2 1.50212 0.00219735 5.00811 0.00753809 5.00045 0.00363941
3 1.49911 0.00326478 5.00519 0.00524155 5.00114 0.00221213
4 1.49934 0.00231941 5.00201 0.00488386 4.99806 0.00345538
5 1.49955 0.0018093 5.0031 0.00393742 4.99875 0.00276375
6 1.49949 0.00147844 5.00306 0.00321516 4.99524 0.0041697
7 1.49892 0.00137449 5.00268 0.00274315 4.99623 0.00365909
8 1.49897 0.00119137 5.00018 0.00344626 4.9954 0.0032741
9 1.49896 0.00105072 5.00062 0.0030703 4.99517 0.00289686
10 1.4988 0.000953353 5.0009 0.00276023 4.99352 0.00307221
11 1.49844 0.000935456 5.00099 0.00249862 4.99446 0.00293468
12 1.49846 0.000854162 5.00163 0.00236682 4.99433 0.00268218
13 1.4986 0.000798716 5.00307 0.00261398 4.99449 0.00247269
14 1.49812 0.000879035 5.00373 0.00250882 4.99516 0.00238323
15 1.49884 0.00108609 5.00421 0.00238303 4.99543 0.00223546
16 1.49868 0.00102754 5.00289 0.00258945 4.99664 0.00241658
17 1.49875 0.000967731 5.00262 0.00244748 4.99685 0.00227921
18 1.49888 0.000920391 5.00232 0.00232665 4.99585 0.00236906
19 1.49874 0.000881126 5.00155 0.00233114 4.99665 0.00238087
20 1.49897 0.000866219 5.0002 0.00259044 4.99712 0.00230622
21 1.49904 0.000827573 5.00008 0.00246682 4.99777 0.00228717
22 1.49877 0.000834701 5.00007 0.00235206 4.99712 0.00227435
23 1.49912 0.000868597 4.99995 0.00225078 4.99732 0.00218232
24 1.49921 0.00083663 5.00055 0.00223718 4.99743 0.00209212
25 1.49922 0.000802633 5.0014 0.00230836 4.99682 0.00209703
26 1.49905 0.000791158 5.00113 0.00223383 4.99637 0.00206421
27 1.49892 0.000771125 5.00123 0.00215171 4.99655 0.00199438
28 1.49895 0.000743525 5.00087 0.00210501 4.99668 0.00192608
29 1.49906 0.000725508 5.00058 0.00205104 4.99653 0.0018644
30 1.49911 0.000703142 5.00033 0.00199788 4.99658 0.00180198
31 1.49913 0.000680323 5.00123 0.00213124 4.99648 0.00174594
32 1.49931 0.000681387 5.00127 0.00206409 4.9969 0.00174206
33 1.49914 0.000681202 5.00112 0.0020061 4.99683 0.00168987
34 1.4991 0.000662287 5.00098 0.00195171 4.9971 0.00166125
35 1.49916 0.000645819 5.00131 0.00192394 4.99692 0.00162249
36 1.49937 0.000661705 5.00141 0.00187223 4.99663 0.00160373
37 1.49937 0.000643638 5.00161 0.00183184 4.99678 0.00156699
38 1.49932 0.000629181 5.00055 0.00206998 4.9972 0.00158148
39 1.49938 0.000615862 5.0005 0.00201694 4.99722 0.00154056
40 1.49931 0.000603487 5.00085 0.00199657 4.99773 0.00158453
41 1.49931 0.000588597 5.00084 0.00194728 4.99776 0.00154566
42 1.49941 0.000583471 5.00079 0.00190112 4.9978 0.00150917
43 1.49949 0.000574401 5.00092 0.00186132 4.99802 0.00148879
44 1.49944 0.000563238 5.00073 0.00182892 4.99797 0.00145524
45 1.49943 0.000550644 5.00111 0.00182911 4.99811 0.00142944
46 1.49949 0.000541645 5.00121 0.00179149 4.99825 0.00140504
47 1.49968 0.000565488 5.00113 0.00175476 4.99815 0.00137862
48 1.49955 0.000570075 5.00124 0.00172105 4.99841 0.00137545
49 1.49961 0.000561691 5.00139 0.00169275 4.9984 0.00134715
50 1.49959 0.000550701 5.00142 0.00165874 4.99798 0.00138674
51 1.49968 0.000547588 5.00161 0.00163702 4.9982 0.00137825
52 1.49989 0.000575127 5.00171 0.00160855 4.99811 0.00135474
53 1.49995 0.000567072 5.00168 0.00157819 4.99792 0.00134242
54 1.49991 0.00055777 5.0018 0.00155355 4.99784 0.00131975
55 1.49982 0.000554633 5.00155 0.00154683 4.99778 0.00129699
56 1.49971 0.000556462 5.00125 0.00154704 4.99758 0.00128857
57 1.49972 0.000546961 5.00102 0.00153772 4.9977 0.00127144
58 1.49965 0.000542949 5.0011 0.0015134 4.99779 0.00125226
59 1.4997 0.000536345 5.00093 0.00149784 4.99785 0.00123259
