x y z R
-2.24052 -1.95986 1.36354 3.27418
-2.3764 -1.53334 2.5809 3.82877
-1.45004 0.874215 1.81791 2.48428
-1.45004 0.874215 1.81791 2.48428
-1.45004 0.874215 1.81791 2.48428
-1.45004 0.874215 1.81791 2.48428
-1.45004 0.874215 1.81791 2.48428
-1.45004 0.874215 1.81791 2.48428
-0.756483 1.352 -0.652362 1.68099
1.80772 2.86043 -0.641331 3.44401
1.80772 2.86043 -0.641331 3.44401
2.86685 0.474826 -2.89188 4.09967
2.86685 0.474826 -2.89188 4.09967
2.86685 0.474826 -2.89188 4.09967
2.86685 0.474826 -2.89188 4.09967
0.692559 -2.17639 -1.62468 2.80284
0.692559 -2.17639 -1.62468 2.80284
0.919076 -3.46962 -1.73435 3.98635
0.919076 -3.46962 -1.73435 3.98635
0.919076 -3.46962 -1.73435 3.98635
0.919076 -3.46962 -1.73435 3.98635
0.919076 -3.46962 -1.73435 3.98635
0.919076 -3.46962 -1.73435 3.98635
0.919076 -3.46962 -1.73435 3.98635
0.919076 -3.46962 -1.73435 3.98635
-0.387503 -0.877684 0.94809 1.34884
1.88017 -2.12207 2.62202 3.86176
3.84089 0.0222655 4.03877 5.57356
2.41846 2.14018 4.32259 5.39575
2.41846 2.14018 4.32259 5.39575
2.41846 2.14018 4.32259 5.39575
2.41846 2.14018 4.32259 5.39575
-0.21441 -0.366521 1.86986 1.91747
-0.21441 -0.366521 1.86986 1.91747
-0.561509 2.22599 4.34074 4.91043
-0.561509 2.22599 4.34074 4.91043
1.3639 3.09364 2.48487 4.19589
1.3639 3.09364 2.48487 4.19589
1.3639 3.09364 2.48487 4.19589
1.3639 3.09364 2.48487 4.19589
1.9482 1.60006 4.01858 4.74391
1.92332 3.90077 3.1814 5.38855
3.66708 2.6055 5.01637 6.73796
3.66708 2.6055 5.01637 6.73796
0.69872 3.53483 3.80728 5.242
0.69872 3.53483 3.80728 5.242
0.69872 3.53483 3.80728 5.242
2.98132 1.69036 6.59454 7.43193
2.98132 1.69036 6.59454 7.43193
3.68279 -0.389541 6.82434 7.76443
3.92121 -1.12844 7.79151 8.79527
2.03782 -4.04629 7.35199 8.63579
0.308462 -6.82142 6.321 9.30495
0.383526 -7.00325 6.44158 9.52295
-2.27115 -6.5952 8.8389 11.2597
-3.50285 -6.03588 7.21591 10.0385
-3.50285 -6.03588 7.21591 10.0385
-5.7046 -5.07065 6.29828 9.89557
-5.7046 -5.07065 6.29828 9.89557
-5.7046 -5.07065 6.29828 9.89557
-5.7046 -5.07065 6.29828 9.89557
-5.7046 -5.07065 6.29828 9.89557
-5.0714 -3.31305 5.04414 7.88281
-6.15932 -3.35687 6.45262 9.53112
-6.15932 -3.35687 6.45262 9.53112
