#Blocks mean_unif uncer_unif mean_gaus uncer_gaus mean_acc_unif uncer_acc_unif mean_acc_gaus uncer_acc_gaus
66 5.00015 0.00116035 5.00029 0.00106906 0.500379 8.69679e-05 0.50054 6.68647e-05
67 5.00005 0.00114774 5.00018 0.00105861 0.500368 8.62994e-05 0.500542 6.58953e-05
68 5.00006 0.00113081 5.00016 0.00104313 0.50037 8.50447e-05 0.500538 6.50541e-05
69 5.00009 0.00111463 5.00018 0.00102819 0.500369 8.38161e-05 0.50054 6.41428e-05
70 5.00001 0.00110171 5.00012 0.00101561 0.500368 8.26103e-05 0.500533 6.36237e-05
71 5.00009 0.00108941 5.0002 0.00100461 0.500364 8.15729e-05 0.500528 6.29407e-05
72 4.99993 0.00108572 5.00004 0.00100266 0.500361 8.04707e-05 0.500519 6.26599e-05
73 4.99987 0.00107245 5 0.000989854 0.500358 7.94382e-05 0.500517 6.18189e-05
74 4.9998 0.00106005 4.99993 0.000979106 0.500365 7.86579e-05 0.500518 6.09791e-05
75 4.99986 0.00104744 4.99998 0.000967358 0.500384 8.01029e-05 0.500523 6.04149e-05
76 5.00002 0.00104564 5.00011 0.000963907 0.500395 7.97635e-05 0.500514 6.03084e-05
77 5.00036 0.00108454 5.00041 0.000996786 0.500405 7.93998e-05 0.500522 6.00568e-05
78 5.00034 0.00107067 5.00039 0.000984069 0.500407 7.83842e-05 0.500521 5.92864e-05
79 5.00029 0.0010583 5.00035 0.000972395 0.500411 7.74828e-05 0.50051 5.95896e-05
80 5.00026 0.00104539 5.00034 0.000960216 0.500411 7.65081e-05 0.500499 5.99658e-05
81 5.00031 0.00103368 5.00041 0.000950772 0.500423 7.66541e-05 0.500492 5.95593e-05
82 5.00032 0.00102112 5.00043 0.000939233 0.500432 7.61486e-05 0.500491 5.88462e-05
83 5.00019 0.00101832 5.00031 0.000934712 0.50043 7.52374e-05 0.50048 5.91396e-05
84 5.00026 0.00100857 5.00038 0.000925931 0.500438 7.47806e-05 0.500492 5.96968e-05
85 5.00025 0.000996681 5.00038 0.000914975 0.500441 7.39336e-05 0.500497 5.9223e-05
86 5.00044 0.00100449 5.00056 0.000922021 0.50044 7.30729e-05 0.500501 5.86218e-05
87 5.00054 0.000997345 5.00064 0.00091486 0.500441 7.22324e-05 0.500491 5.86941e-05
88 5.00061 0.000988299 5.00069 0.000905942 0.500439 7.14326e-05 0.500493 5.8035e-05
89 5.00083 0.00100202 5.00089 0.000917054 0.500444 7.08144e-05 0.500499 5.77116e-05
90 5.00083 0.000990824 5.00089 0.000906809 0.500443 7.00291e-05 0.5005 5.70781e-05
91 5.00094 0.000985721 5.00097 0.000901116 0.50044 6.93424e-05 0.5005 5.64482e-05
92 5.00076 0.000990405 5.00082 0.000904817 0.500437 6.86276e-05 0.500498 5.58669e-05
93 5.00078 0.000979824 5.00082 0.000895037 0.500439 6.79153e-05 0.500493 5.54583e-05
94 5.00094 0.00098301 5.00096 0.000896622 0.500448 6.78057e-05 0.500498 5.51255e-05
95 5.00084 0.000977444 5.00089 0.00089035 0.500446 6.71204e-05 0.500502 5.46816e-05
96 5.00072 0.000975101 5.00077 0.000888142 0.500434 6.74603e-05 0.500507 5.43018e-05
97 5.00074 0.000965322 5.0008 0.000879502 0.500439 6.69127e-05 0.500508 5.37488e-05
98 5.0007 0.000956565 5.00075 0.0008725 0.500428 6.71072e-05 0.500503 5.34067e-05
99 5.00068 0.000946993 5.00073 0.000863825 0.500436 6.68438e-05 0.500508 5.30956e-05
100 5.00068 0.000937484 5.00073 0.000855143 0.500436 6.61726e-05 0.500501 5.30287e-05
