#Blocks mean_1 uncer_1 mean_2 uncer_2 mean_3 uncer_3
1 1152.45 0 5.42539 0 5.44658 0
2 1092.58 59.8728 5.46353 0.0381398 5.45434 0.00775966
3 1173.26 87.777 5.48554 0.0311374 5.46347 0.0101705
4 1159.38 63.6003 5.48432 0.0220514 5.46761 0.00829736
5 931.209 233.431 5.47693 0.0186107 5.46999 0.00685362
6 953.263 191.867 5.47601 0.0152232 5.47423 0.00702202
7 836.51 199.815 5.46889 0.0147078 5.47056 0.00698029
8 790.781 178.986 5.46881 0.0127375 5.46629 0.00739985
9 848.467 168.061 5.46902 0.0112354 5.46493 0.00666515
10 855.902 150.502 5.47218 0.0105353 5.46048 0.0074433
11 870.418 136.906 5.47424 0.00974981 5.46571 0.00853019
12 806.34 140.447 5.47867 0.0099394 5.46993 0.00885616
13 808.643 129.213 5.47812 0.00915904 5.47583 0.010059
14 839.792 123.617 5.47691 0.00856663 5.47597 0.0093138
15 853.59 115.905 5.47497 0.0082065 5.47318 0.00910707
16 861.215 108.687 5.47254 0.00805146 5.47374 0.00853711
17 910.839 113.515 5.47668 0.0086208 5.47225 0.00815687
18 913.166 107.048 5.47639 0.00813281 5.47101 0.00779006
19 897.781 102.42 5.47639 0.00769287 5.47155 0.00738889
20 919.188 99.4943 5.47872 0.00765915 5.47092 0.0070383
21 881.894 101.721 5.47858 0.00728661 5.4715 0.00671994
22 882.454 96.9891 5.47888 0.00695397 5.47069 0.0064583
23 923.327 101.289 5.47867 0.00664794 5.47023 0.00618856
24 920.729 97.0118 5.47683 0.00662677 5.47001 0.00592907
25 921.915 93.058 5.47672 0.0063571 5.4679 0.00606402
26 895.943 93.103 5.47683 0.00610866 5.46875 0.00588697
27 867.115 94.1123 5.47548 0.00603123 5.46756 0.00578853
28 841.303 94.2908 5.47706 0.00602436 5.46584 0.00583507
29 852.919 91.7199 5.47637 0.00585386 5.46617 0.00563956
30 828.009 92.0447 5.477 0.00568962 5.46646 0.00545611
31 803.311 92.3885 5.47719 0.00550662 5.46664 0.00528012
32 782.073 91.9413 5.47811 0.00541028 5.4675 0.0051845
33 787.296 89.2646 5.47846 0.00525553 5.46693 0.00505678
34 786.235 86.6058 5.47731 0.00522812 5.46689 0.00490593
35 797.909 84.9015 5.47695 0.00508895 5.46723 0.00477552
36 778.758 84.7029 5.47687 0.00494617 5.46598 0.0048067
37 790.211 83.1741 5.47692 0.00481083 5.4663 0.00468625
38 802.053 81.8173 5.47768 0.00474428 5.46579 0.00458992
39 804.949 79.7444 5.47625 0.0048367 5.46661 0.00454575
40 786.723 79.8337 5.47619 0.00471471 5.46595 0.00448009
41 799.649 78.9278 5.47655 0.00461268 5.4657 0.00437638
42 804.681 77.1899 5.47587 0.0045524 5.46527 0.00429275
43 810.218 75.5765 5.47575 0.00444698 5.46625 0.00430461
44 821.456 74.6892 5.47584 0.0043458 5.46601 0.00421258
45 826.51 73.1852 5.47598 0.00425046 5.46548 0.00415176
46 836.812 72.3142 5.4752 0.00422948 5.46521 0.00406966
47 846.068 71.3617 5.47488 0.00415147 5.46593 0.00404708
48 846.786 69.8629 5.47469 0.00406835 5.46611 0.00396606
49 858.549 69.4261 5.47403 0.00403917 5.46538 0.00395199
50 864.282 68.2645 5.47436 0.00397166 5.46403 0.00410248
51 871.444 67.2948 5.47455 0.00389763 5.46421 0.00402538
52 878.713 66.3871 5.47321 0.00404985 5.4648 0.00399092
53 888.922 65.9179 5.47295 0.00398124 5.46496 0.00391812
54 888.753 64.6859 5.47416 0.00408832 5.46636 0.00409143
55 894.025 63.7174 5.47437 0.00401896 5.46576 0.00405979
56 878.549 64.4548 5.47463 0.00395492 5.46579 0.0039867
57 864.077 64.947 5.47318 0.00414591 5.46555 0.00392358
58 869.169 64.0202 5.47255 0.00412173 5.46532 0.00386223
59 877.936 63.5335 5.47257 0.0040513 5.46552 0.00380158
60 865.773 63.6387 5.4723 0.00399238 5.46651 0.00386759
61 869.203 62.6806 5.47279 0.00395696 5.46702 0.00383749
62 873.18 61.7895 5.47251 0.00390291 5.46653 0.00380619
63 878.363 61.0213 5.47238 0.00384273 5.46641 0.00374728
64 886.387 60.5939 5.47255 0.00378635 5.46662 0.00369394
65 885.3 59.6643 5.47261 0.00372816 5.46651 0.00363836
66 889.799 58.9254 5.47228 0.00368632 5.46611 0.00360453
67 895.699 58.3384 5.47201 0.00364132 5.46586 0.00355902
68 894.835 57.4806 5.47198 0.0035875 5.46608 0.00351319
69 882.557 57.957 5.47126 0.00360731 5.46605 0.00346202
70 883.709 57.1347 5.47161 0.00357319 5.46619 0.0034148
71 895.45 57.535 5.47197 0.00354048 5.46538 0.00346235
72 894.885 56.733 5.47149 0.0035233 5.46542 0.00341416
73 893.129 55.978 5.47158 0.0034758 5.46598 0.00341453
74 893.139 55.2164 5.47159 0.00342852 5.46608 0.00336941
75 894.709 54.4978 5.47157 0.00338253 5.46631 0.00333208
76 896.287 53.7991 5.47105 0.00337865 5.46592 0.00331133
77 895.006 53.1113 5.47036 0.00340442 5.4659 0.00326806
78 904.418 53.264 5.47049 0.00336287 5.46554 0.00324635
79 893.942 53.6187 5.47026 0.00332776 5.46522 0.00322067
80 900.981 53.41 5.47036 0.00328723 5.46482 0.003205
81 894.777 53.1101 5.47014 0.00325341 5.46507 0.00317465
82 899.834 52.7015 5.47009 0.00321385 5.46496 0.00313756
83 902.614 52.1369 5.46942 0.00324619 5.46549 0.00314365
84 904.735 51.5561 5.46984 0.00323561 5.46578 0.00311972
85 905.906 50.9594 5.46951 0.00321454 5.46589 0.00308484
86 901.82 50.5288 5.46968 0.0031815 5.4659 0.00304878
87 894.592 50.4649 5.46962 0.00314532 5.46662 0.00309906
88 887.254 50.425 5.46893 0.00318427 5.46614 0.00310135
89 889.336 49.8986 5.46879 0.00315139 5.46662 0.00310265
90 892.61 49.4496 5.46853 0.00312721 5.46651 0.0030698
91 896.446 49.0534 5.46826 0.00310463 5.46603 0.00307323
92 899.141 48.5921 5.4679 0.0030914 5.46683 0.00314338
93 890.292 48.8746 5.46801 0.00305998 5.46668 0.00311331
94 894.059 48.4984 5.46787 0.00303082 5.46697 0.00309384
95 899.423 48.284 5.46806 0.00300479 5.46686 0.00306301
96 901.581 47.8271 5.46779 0.00298511 5.46667 0.003037
97 904.469 47.4195 5.46757 0.00296214 5.46679 0.00300784
98 907.384 47.0236 5.46787 0.00294621 5.46708 0.00299163
99 908.488 46.5593 5.46733 0.00296505 5.46714 0.00296179
100 912.695 46.2829 5.46732 0.00293526 5.46711 0.00293214
