#Blocks mean_unif uncer_unif mean_gaus uncer_gaus mean_acc_unif uncer_acc_unif mean_acc_gaus uncer_acc_gaus
1 5.00442 0 5.00366 0 0.499935 0 0.501244 0
2 4.99922 0.00520398 4.99851 0.0051494 0.499915 2e-05 0.500297 0.000947
3 5.00628 0.00767271 5.00561 0.00769113 0.500199 0.000284235 0.500218 0.000552476
4 5.00418 0.00581588 5.00356 0.00581109 0.500025 0.000266003 0.500296 0.000398338
5 5.00164 0.00517493 5.00112 0.00511843 0.500097 0.000218478 0.500398 0.000325194
6 5.00254 0.00431998 5.00201 0.00427191 0.500226 0.000220006 0.500508 0.000287455
7 5.00048 0.00418735 4.99984 0.00420992 0.500166 0.000195387 0.500496 0.000243249
8 5.00019 0.003638 4.99981 0.00364601 0.500305 0.000218575 0.500548 0.000216889
9 5.00119 0.00335823 5.00064 0.00331884 0.500482 0.000262039 0.500604 0.000199472
10 5.00192 0.0030914 5.00127 0.00303509 0.500467 0.000234874 0.500675 0.000191825
11 5.001 0.0029413 5.00052 0.00284682 0.500434 0.000214898 0.500501 0.000245523
12 5.00075 0.00269719 5.00032 0.0026064 0.500404 0.000198459 0.50049 0.000224388
13 5.00043 0.00250167 5.00012 0.00240542 0.500341 0.000193079 0.500508 0.000207136
14 4.99993 0.00236824 4.99969 0.00226925 0.500351 0.000179034 0.500532 0.000193323
15 5.00033 0.00223989 4.99992 0.00212534 0.500358 0.000166812 0.500544 0.000180369
16 5.00039 0.00209612 4.99999 0.00198929 0.500271 0.000178875 0.500544 0.000168719
17 5.00044 0.00196952 5 0.00186867 0.500304 0.00017127 0.500548 0.000158553
18 5.00097 0.00193249 5.00046 0.00181979 0.500329 0.000163467 0.500571 0.000151108
19 5.00125 0.00184831 5.00071 0.00174016 0.500323 0.00015474 0.500588 0.000144039
20 5.00149 0.001771 5.00109 0.00169366 0.5003 0.000148601 0.500647 0.000148695
21 5.00141 0.00168682 5.00103 0.00161201 0.500318 0.000142493 0.500639 0.00014165
22 5.00199 0.00171061 5.00159 0.00163398 0.500358 0.000141381 0.500645 0.000135177
23 5.0016 0.00168145 5.00118 0.00161455 0.500331 0.000137586 0.500648 0.000129206
24 5.00132 0.0016328 5.00095 0.00156314 0.500355 0.000133871 0.500639 0.000124012
