#Blocks mean_unif uncer_unif mean_gaus uncer_gaus mean_acc_unif uncer_acc_unif mean_acc_gaus uncer_acc_gaus
67 1.49917 0.000493761 1.49926 0.000464574 0.499979 8.52851e-05 0.499291 7.84473e-05
68 1.49924 0.000491299 1.49932 0.00046094 0.499976 8.4072e-05 0.499291 7.72853e-05
69 1.49933 0.000490996 1.49939 0.000459858 0.499983 8.31043e-05 0.499302 7.68983e-05
70 1.49934 0.000484235 1.4994 0.000453404 0.499988 8.20885e-05 0.499304 7.58405e-05
71 1.49945 0.000488781 1.4995 0.000458186 0.499995 8.12373e-05 0.499311 7.50136e-05
72 1.49939 0.000485077 1.49945 0.000455097 0.499986 8.06594e-05 0.499299 7.48183e-05
73 1.49937 0.000479 1.49943 0.000449231 0.499988 7.95684e-05 0.499298 7.37935e-05
74 1.49934 0.000473176 1.49941 0.000443746 0.49999 7.85224e-05 0.4993 7.28038e-05
75 1.49931 0.000468292 1.49937 0.000439016 0.499992 7.75073e-05 0.499285 7.32628e-05
76 1.49929 0.000462395 1.49935 0.00043369 0.499996 7.65742e-05 0.499279 7.25974e-05
77 1.49937 0.000463622 1.49943 0.0004358 0.500008 7.65135e-05 0.499295 7.36e-05
78 1.49937 0.000457643 1.49943 0.000430183 0.500006 7.55672e-05 0.499295 7.26503e-05
79 1.49932 0.0004547 1.49939 0.000426857 0.500007 7.46111e-05 0.499279 7.37016e-05
80 1.49924 0.000455216 1.49932 0.000427332 0.499997 7.43292e-05 0.499256 7.63169e-05
81 1.49932 0.000456243 1.4994 0.000430293 0.500018 7.65479e-05 0.499264 7.58047e-05
82 1.4993 0.000451071 1.49938 0.000425432 0.500025 7.58746e-05 0.49926 7.49533e-05
83 1.49923 0.000450498 1.49932 0.000424477 0.500025 7.49555e-05 0.499251 7.4567e-05
84 1.49926 0.000446137 1.49936 0.000420647 0.500027 7.40974e-05 0.499255 7.37596e-05
85 1.49928 0.000441182 1.49937 0.00041603 0.500028 7.32281e-05 0.499254 7.289e-05
86 1.49937 0.000444586 1.49945 0.000418473 0.500032 7.24939e-05 0.499251 7.20934e-05
87 1.49948 0.000452512 1.49955 0.000424211 0.500041 7.22372e-05 0.499258 7.16058e-05
88 1.49948 0.00044741 1.49955 0.000419382 0.500039 7.1452e-05 0.49926 7.08047e-05
89 1.49953 0.000444856 1.49959 0.000416284 0.500036 7.06906e-05 0.499266 7.02443e-05
90 1.49955 0.000440103 1.4996 0.000411969 0.500043 7.01679e-05 0.499268 6.95089e-05
91 1.49955 0.000435241 1.49961 0.00040746 0.500033 7.00609e-05 0.499263 6.89544e-05
92 1.49949 0.000434185 1.49955 0.000406766 0.500033 6.92952e-05 0.499264 6.82055e-05
93 1.49947 0.000429966 1.49954 0.000402691 0.500023 6.92499e-05 0.499262 6.7503e-05
94 1.4995 0.000426435 1.49956 0.000399069 0.500019 6.86374e-05 0.499259 6.68281e-05
95 1.49954 0.000423622 1.4996 0.000396286 0.50002 6.79221e-05 0.499265 6.64247e-05
96 1.49951 0.000420219 1.49956 0.000393329 0.50001 6.8015e-05 0.499268 6.5795e-05
97 1.49951 0.000415905 1.49957 0.000389267 0.500012 6.73612e-05 0.499261 6.54932e-05
98 1.49947 0.000414022 1.49953 0.000387119 0.500009 6.6765e-05 0.49926 6.4838e-05
99 1.49951 0.000411399 1.49956 0.000384257 0.500016 6.64689e-05 0.499264 6.43259e-05
100 1.49951 0.000407266 1.49956 0.000380408 0.500021 6.59952e-05 0.499266 6.36943e-05
