#Blocks mean_1 uncer_1 mean_2 uncer_2 mean_3 uncer_3
1 3194.57 0 4.99076 0 4.98958 0
2 3325 130.428 4.99521 0.00445506 4.9997 0.0101217
3 3018.86 315.261 5.00128 0.00658882 5.00348 0.00695676
4 2881.21 261.996 4.99667 0.00655277 4.99839 0.00707666
5 2901.83 203.985 4.99647 0.00507958 5.00167 0.0063901
6 2983.35 185.436 4.99744 0.00425948 5.00082 0.00528694
7 3118.71 207.085 4.99603 0.00386718 4.99973 0.00459849
8 3302 256.428 4.99556 0.00338227 4.99923 0.00401407
9 3469.92 281.676 4.99592 0.00300473 4.9993 0.00354079
10 3582.8 276.072 4.99797 0.00338036 4.99926 0.0031673
11 3573.26 249.898 4.99763 0.00307661 5.00101 0.00336125
12 3553.65 228.966 4.99754 0.00280998 5.00023 0.00316689
13 3549.71 210.655 4.99971 0.00337464 5.00001 0.00292104
14 3586.93 198.55 5.00132 0.00351652 5.00054 0.00275566
15 3658.77 198.31 5.00185 0.00331679 5.00067 0.00256865
16 3717.29 194.512 5.00074 0.00329665 5.0009 0.0024134
17 3747.64 185.216 5.00117 0.00312621 5.00126 0.00229469
18 3771.6 176.26 5.0009 0.00295996 5.0011 0.00216923
19 3808.96 170.858 5.00063 0.00281213 5.00133 0.00206521
20 3793.54 162.821 4.99985 0.00277938 5.00082 0.00202573
21 3762.8 157.895 4.9999 0.00264419 5.00174 0.00213524
22 3740.34 152.214 4.99999 0.00252247 5.00095 0.0021827
23 3731.21 145.732 5.00007 0.00241172 5.00056 0.00212128
24 3736.25 139.619 5.00075 0.00240835 4.99998 0.00211254
25 3710.7 136.333 5.00105 0.00232886 4.99965 0.00205246
26 3666.24 138.326 5.00103 0.00223756 4.99933 0.00199856
27 3616.73 142.015 5.00069 0.00218007 4.99924 0.00192504
28 3578 142.224 5.00067 0.00210083 4.99959 0.00188691
29 3570.37 137.443 5.00039 0.00204685 4.99971 0.00182496
30 3559.87 133.198 5.00048 0.00197947 4.99925 0.00182338
31 3559.34 128.831 5.001 0.00198441 4.99938 0.00176838
32 3578.13 126.146 5.00104 0.00192181 4.99995 0.001804
33 3607.68 125.785 5.00101 0.001863 4.99979 0.00175586
34 3621.13 122.768 5.00073 0.00182835 5.00001 0.00171828
35 3653.02 123.401 5.00082 0.00177744 5.0002 0.00167855
36 3672.99 121.576 5.00055 0.00174737 4.99978 0.00168412
37 3705.12 122.531 5.00043 0.0017038 4.99968 0.00164079
38 3735.92 123.178 4.99988 0.00174857 4.99983 0.00160402
39 3769.21 124.51 4.99945 0.00175636 4.99972 0.00156593
40 3789.51 123.042 4.99946 0.0017119 5.00008 0.0015666
41 3813.14 122.309 4.99931 0.00167564 4.99974 0.00156486
42 3819.32 119.522 4.99932 0.00163527 4.99981 0.00152888
43 3837.94 118.184 4.99915 0.00160535 5.00006 0.00151391
44 3874.42 121.095 4.99871 0.00162935 4.99978 0.00150572
45 3908.26 123.115 4.99893 0.00160747 5 0.00148764
46 3953.82 128.739 4.99889 0.00157258 5.00024 0.00147466
47 4000.41 134.31 4.99895 0.00153974 5.00057 0.00148139
48 4041.16 137.651 4.99898 0.00150769 5.00052 0.00145111
49 4067.25 137.314 4.99906 0.00147894 5.00039 0.00142684
50 4096.93 137.775 4.99893 0.00145524 5.00028 0.00140263
51 4132.9 139.754 4.99944 0.0015146 5.00047 0.00138835
52 4171.75 142.442 4.99938 0.00148645 5.00025 0.00137911
53 4219.25 147.579 4.99927 0.00146208 5.00037 0.00135771
54 4263.45 151.416 4.99928 0.00143476 5.00042 0.00133335
55 4308.74 155.386 4.99925 0.00140878 5.00046 0.00130935
56 4345.7 156.998 4.99944 0.00139769 5.00065 0.00129987
57 4364.28 155.334 4.99936 0.00137545 5.00087 0.00129684
58 4391.82 155.098 4.99935 0.00135157 5.00089 0.00127436
59 4413.8 154.023 4.99925 0.00133255 5.00088 0.00125257
60 4432.23 152.55 4.99913 0.00131501 5.00093 0.00123231
61 4461.7 152.896 4.99888 0.00131831 5.00092 0.00121201
62 4493.56 153.747 4.99899 0.00130146 5.00067 0.00121749
63 4527.91 155.137 4.9988 0.00129452 5.00069 0.00119814
64 4566.2 157.423 4.99878 0.00127431 5.00058 0.00118445
65 4604.88 159.736 4.99886 0.00125717 5.00059 0.00116615
66 4643.13 161.881 4.99888 0.00123822 5.00045 0.00115648
67 4687.92 165.619 4.99884 0.00122041 5.00026 0.00115549
68 4718.26 165.962 4.99891 0.00120444 5.00042 0.00114988
69 4730.26 163.979 4.99901 0.00119121 5.00047 0.00113402
70 4743.37 162.15 4.99893 0.00117656 5.00048 0.00111773
71 4762.16 160.95 4.99907 0.00116742 5.00045 0.00110214
72 4780.39 159.743 4.99915 0.00115425 5.00049 0.00108738
73 4794.56 158.175 4.99948 0.00118403 5.00053 0.001073
