#Blocks mean_1 uncer_1 mean_2 uncer_2 mean_3 uncer_3
1 1304.4 0 34.6135 0 289.453 0
2 1228.63 75.7732 22.3919 12.2217 148.536 140.918
3 1309.22 91.7014 666.058 643.705 146.656 81.3805
4 1317.26 65.3385 955.996 539.669 112.876 66.7269
5 1306.59 51.722 766.408 459.009 741.165 630.412
6 1303.1 42.3752 788.602 375.436 629.743 526.651
7 1145.12 161.982 676.962 336.368 545.763 452.954
8 1080.48 154.459 593.872 302.922 480.643 397.638
9 1126.89 143.91 880.689 391.962 428.258 354.575
10 1127.46 128.718 793.706 361.211 386.253 319.911
11 1134.49 116.642 722.765 334.34 456.012 297.66
12 1134.57 106.479 666.008 310.442 606.377 310.555
13 1129.51 98.0774 617.111 289.721 560.614 289.311
14 1154.17 94.0911 573.522 271.748 521.16 270.74
15 1162 87.9441 538.036 255.461 514.495 252.134
16 1165.08 82.3218 505.094 241.221 483.048 237.937
17 1209.41 89.1321 476.133 228.431 593.612 249.355
18 1207.32 84.0605 450.368 216.903 562.488 237.146
19 1195.34 80.4102 482.776 207.713 569.116 224.415
20 1210.6 77.7946 459.34 198.443 543.585 214.425
21 1191.48 76.427 566.405 217.007 552.573 204.156
22 1188.45 72.9335 541.948 208.348 528.408 196.15
23 1224.38 78.4096 652.933 227.93 505.939 188.769
24 1215.88 75.552 626.185 219.859 485.856 181.845
25 1212.74 72.5349 611.009 211.427 466.76 175.462
26 1187.42 74.1461 588.877 204.335 449.989 169.411
27 1198.63 72.2224 569.512 197.572 434.017 163.796
28 1193.09 69.8156 549.596 191.424 439.45 157.931
29 1200.61 67.7838 530.966 185.643 426.107 152.971
30 1165.84 74.1415 599.503 191.997 413.339 148.335
31 1161.85 71.8209 580.988 186.621 502.208 168.764
32 1167.15 69.7415 563.261 181.563 486.769 164.133
33 1166.87 67.5957 547.193 176.707 472.245 159.743
34 1169.63 65.6354 589.828 176.653 458.59 155.574
35 1177.05 64.1632 573.598 172.298 445.884 151.597
36 1148.65 68.5183 572.414 167.447 434.977 147.729
37 1156.14 67.0609 563.343 163.111 485.485 152.3
38 1164.19 65.7663 578.501 159.483 472.931 148.769
39 1162.95 64.0698 564.036 156.012 479.949 145.074
40 1168.33 62.6789 550.224 152.688 468.222 141.886
41 1177.26 61.7791 538.42 149.384 457.256 138.816
42 1176 60.3034 525.797 146.329 446.65 135.885
43 1178.12 58.9224 513.809 143.388 437.394 133.009
44 1186.11 58.1204 502.489 140.548 432.097 130.059
45 1187.4 56.8287 492.061 137.784 422.676 127.485
46 1194.74 56.0621 483.071 135.055 413.687 125.006
47 1201.58 55.2813 475.584 132.362 450.201 127.651
48 1198.3 54.2168 465.85 129.94 441.064 125.297
49 1207.49 53.8891 456.559 127.6 438.336 122.744
50 1209.1 52.8248 449.099 125.244 438.989 120.266
51 1212.92 51.9197 442.999 122.915 430.624 118.18
52 1217.66 51.1308 434.625 120.819 422.588 116.164
53 1225.58 50.7783 426.613 118.788 414.886 114.211
54 1223.1 49.8904 418.962 116.818 408.421 112.262
55 1226.64 49.1028 411.642 114.908 401.167 110.441
56 1215.91 49.399 404.616 113.056 394.257 108.67
57 1208.34 49.1115 397.633 111.274 424.231 110.875
58 1211.61 48.3679 390.995 109.54 417.736 109.14
59 1216.89 47.8336 384.659 107.854 410.852 107.495
60 1200.69 49.7423 378.924 106.196 404.526 105.878
61 1202.02 48.9381 372.883 104.615 398.034 104.33
62 1204.22 48.1927 367.026 103.08 391.728 102.827
63 1207.5 47.5352 361.332 101.591 395.941 101.269
64 1214.1 47.2491 392.539 104.748 389.919 99.8558
65 1211.37 46.5966 429.937 109.695 384.078 98.4809
66 1214.13 45.9683 424.759 108.144 378.697 97.1265
67 1218.28 45.4665 457.671 111.487 399.374 97.8748
68 1209.27 45.6899 457.176 109.836 393.672 96.5932
69 1193.09 47.8404 485.654 111.916 388.119 95.3448
70 1192.6 47.1546 481.524 110.383 383.116 94.1059
71 1203.46 47.7386 524.189 116.883 415.672 98.3177
72 1201.54 47.1103 517.28 115.455 410.172 97.0985
73 1197.87 46.6047 510.326 114.074 404.813 95.909
74 1196.45 45.9927 503.662 112.719 439.593 100.795
75 1196.7 45.376 497.882 111.357 459.747 101.464
76 1196.88 44.7753 491.948 110.042 453.825 100.295
77 1194.61 44.2481 488.734 108.651 460.008 99.1764
78 1202.97 44.4692 483.09 107.397 454.292 98.0634
79 1207.85 44.1735 477.09 106.199 448.759 96.9721
80 1213.93 44.0395 501.064 107.568 443.282 95.9088
81 1204.89 44.423 495.003 106.405 437.991 94.865
82 1208.73 44.0459 489.676 105.234 432.737 93.8482
83 1209.43 43.5175 516.276 107.308 454.002 95.1183
84 1210.26 43.0044 544.502 109.715 449.359 94.0938
85 1210.27 42.4955 582.19 114.781 450.907 92.9931
86 1208.28 42.0456 575.564 113.632 445.852 92.0443
87 1204.11 41.7686 569.127 112.502 442.603 91.0382
88 1194.29 42.4423 562.75 111.399 437.814 90.125
89 1195.34 41.9759 556.631 110.31 433.492 89.2114
90 1196.89 41.5355 577.913 111.134 428.79 88.3398
91 1199.78 41.178 574.846 109.949 424.75 87.457
92 1201.55 40.7668 570.455 108.836 444.624 88.755
93 1199.51 40.3775 567.407 107.703 440.117 87.911
94 1202.09 40.0286 568.333 106.555 435.721 87.0818
95 1206.73 39.8756 562.519 105.587 456.995 88.7478
96 1208.14 39.4834 556.798 104.638 452.439 87.9366
97 1210.23 39.13 574.47 105.051 447.924 87.1424
98 1211.54 38.7508 569.061 104.114 443.487 86.3626
99 1210.93 38.3623 563.393 103.213 439.49 85.5792
100 1214.46 38.1412 587.298 104.935 435.702 84.8037
