#N_BLOCK:  ACCEPTANCE:
1 0.533736
2 0.533773
3 0.533807
4 0.533704
5 0.533773
6 0.533776
7 0.533787
8 0.533746
9 0.533703
10 0.533682
11 0.533681
12 0.533724
13 0.533708
14 0.533705
15 0.533684
16 0.533709
17 0.533699
18 0.533646
19 0.533659
20 0.53368
